Week,Team,Position,PID,Player
3,MM,QB,28390,Marcus Mariota
3,MM,WR,24171,Antonio Brown
3,MM,WR,8256,Calvin Johnson
3,MM,RB,9010,Justin Forsett
3,MM,RB,8790,Jonathan Stewart
3,MM,TE,26686,Travis Kelce
3,MM,W/R/T,27619,John Brown
3,MM,BN,5479,Drew Brees
3,MM,BN,28461,Tevin Coleman
3,MM,BN,25741,Doug Martin
3,MM,BN,8982,Pierre Garcon
3,MM,K,25427,Dan Bailey
3,MM,DB,27549,Ha Ha Clinton-Dix
3,MM,DB,8422,Corey Graham
3,MM,DB,9319,William Moore
3,MM,DL,8827,Calais Campbell
3,MM,DL,28394,Leonard Williams
3,MM,LB,24030,Sean Lee
3,MM,LB,25829,Keenan Robinson
3,MM,LB,25787,Demario Davis
3,MM,BN,8337,Charles Johnson
3,MM,BN,6371,Charles Tillman
3,MM,BN,27040,Paul Worrilow
3,MM,BN,28433,Eric Kendricks
3,DB,QB,25785,Russell Wilson
3,DB,WR,7868,Brandon Marshall
3,DB,WR,26650,DeAndre Hopkins
3,DB,RB,8821,Matt Forte
3,DB,RB,25807,Lamar Miller
3,DB,TE,8838,Martellus Bennett
3,DB,W/R/T,6390,Anquan Boldin
3,DB,BN,24169,James Starks
3,DB,BN,24035,Golden Tate
3,DB,BN,26810,Andre Ellington
3,DB,BN,24916,Julius Thomas
3,DB,K,7520,Robbie Gould
3,DB,DB,26638,Kenny Vaccaro
3,DB,DB,25853,Josh Norman
3,DB,DB,28406,Marcus Peters
3,DB,DL,7884,Rob Ninkovich
3,DB,DL,24818,Cameron Heyward
3,DB,LB,27545,C.J. Mosley
3,DB,LB,27601,Preston Brown
3,DB,LB,24336,Vincent Rey
3,DB,BN,24887,Da'Norris Searcy
3,DB,BN,23977,Ndamukong Suh
3,DB,BN,8814,Curtis Lofton
3,DB,BN,9467,Jason McCourty
3,MP,QB,6337,Carson Palmer
3,MP,WR,24791,A.J. Green
3,MP,WR,27570,Jordan Matthews
3,MP,RB,8850,Jamaal Charles
3,MP,RB,27583,Jeremy Hill
3,MP,TE,7206,Heath Miller
3,MP,W/R/T,9560,Danny Woodhead
3,MP,BN,26697,Terrance Williams
3,MP,BN,27581,Davante Adams
3,MP,BN,6760,Eli Manning
3,MP,BN,9514,Rashad Jennings
3,MP,BN,28398,Todd Gurley
