Week,Team,Position,PID,Player
1,MM,QB,24788,Cam Newton
1,MM,WR,24793,Julio Jones
1,MM,WR,24851,Randall Cobb
1,MM,RB,24815,Mark Ingram
1,MM,RB,26804,Latavius Murray
1,MM,TE,26658,Zach Ertz
1,MM,W/R/T,25876,Marvin Jones Jr.
1,MM,BN,24057,Emmanuel Sanders
1,MM,BN,24916,Julius Thomas
1,MM,BN,9560,Danny Woodhead
1,MM,BN,28483,Matt Jones
1,MM,BN,28457,Tyler Lockett
1,MM,K,8447,Mason Crosby
1,MM,DB,8422,Corey Graham
1,MM,DB,27630,Bashaud Breeland
1,MM,DB,24219,Kurt Coleman
1,MM,DL,24075,Everson Griffen
1,MM,DL,25782,Olivier Vernon
1,MM,LB,25757,Bobby Wagner
1,MM,LB,9340,DeAndre Levy
1,MM,LB,28512,Kwon Alexander
1,MM,BN,28394,Leonard Williams
1,MM,BN,25829,Keenan Robinson
1,MM,BN,24806,Prince Amukamara
1,DB,QB,25785,Russell Wilson
1,DB,WR,7868,Brandon Marshall
1,DB,WR,26650,DeAndre Hopkins
1,DB,RB,25807,Lamar Miller
1,DB,RB,28403,Melvin Gordon
1,DB,TE,8285,Greg Olsen
1,DB,W/R/T,27570,Jordan Matthews
1,DB,BN,27874,Allen Hurns
1,DB,BN,8790,Jonathan Stewart
1,DB,BN,27564,Derek Carr
1,DB,BN,24070,Jimmy Graham
1,DB,BN,24845,Torrey Smith
1,DB,K,27120,Brandon McManus
1,DB,DB,26638,Kenny Vaccaro
1,DB,DB,7121,Mike Adams
1,DB,DB,23989,Earl Thomas
1,DB,DL,24029,Carlos Dunlap
1,DB,DL,24864,Jurrell Casey
1,DB,LB,27545,C.J. Mosley
1,DB,LB,27601,Preston Brown
1,DB,LB,25852,Brandon Marshall
1,DB,BN,7750,Mario Williams
1,DB,BN,27537,Anthony Barr
1,MP,QB,6760,Eli Manning
1,MP,WR,23999,Dez Bryant
1,MP,WR,27535,Mike Evans
1,MP,RB,28398,Todd Gurley
1,MP,RB,28474,David Johnson
1,MP,TE,7924,Delanie Walker
1,MP,W/R/T,27548,Brandin Cooks
1,MP,BN,27618,Donte Moncrief
1,MP,BN,9527,Arian Foster
1,MP,BN,5228,Tom Brady
1,MP,BN,28395,Kevin White
1,MP,BN,29279,Derrick Henry
1,MP,BN,26685,Christine Michael
1,MP,K,9066,Stephen Hauschka
1,MP,DB,26656,Johnathan Cyprien
1,MP,DB,28503,Ibraheim Campbell
1,MP,DB,27081,Tony Jefferson
1,MP,DL,24817,Muhammad Wilkerson
1,MP,DL,8869,Cliff Avril
1,MP,LB,26675,Jamie Collins Sr.
1,MP,LB,27543,Ryan Shazier
1,MP,LB,28528,Ben Heeney
1,MP,BN,24824,Jabaal Sheard
1,MP,BN,29285,Deion Jones
1,TP,QB,6770,Ben Roethlisberger
1,TP,WR,25755,Alshon Jeffery
1,TP,WR,25802,T.Y. Hilton
1,TP,RB,29238,Ezekiel Elliott
1,TP,RB,27631,Devonta Freeman
1,TP,TE,26686,Travis Kelce
1,TP,W/R/T,27585,Carlos Hyde
1,TP,BN,6762,Larry Fitzgerald
1,TP,BN,28417,Phillip Dorsett
1,TP,BN,28442,Ameer Abdullah
1,TP,BN,25937,Rishard Matthews
1,TP,BN,27624,Jerick McKinnon
1,TP,K,28103,Chandler Catanzaro
1,TP,DB,24109,Kam Chancellor
1,TP,DB,27546,Calvin Pryor
1,TP,DB,29286,Su'a Cravens
1,TP,DL,24811,Cameron Jordan
1,TP,DL,24818,Cameron Heyward
1,TP,LB,7783,D'Qwell Jackson
1,TP,LB,7190,Thomas Davis
1,TP,LB,25756,Mychal Kendricks
1,TP,BN,26669,Kiko Alonso
1,TP,BN,29248,Karl Joseph
1,TP,BN,9691,Cameron Wake
1,SC,QB,6337,Carson Palmer
1,SC,WR,26699,Keenan Allen
1,SC,WR,24062,Eric Decker
1,SC,RB,9317,LeSean McCoy
1,SC,RB,28494,Jeremy Langford
1,SC,TE,25774,Dwayne Allen
1,SC,W/R/T,8826,DeSean Jackson
1,SC,BN,27619,John Brown
1,SC,BN,24318,LeGarrette Blount
1,SC,BN,26660,Giovani Bernard
1,SC,BN,28402,DeVante Parker
1,SC,K,3727,Adam Vinatieri
1,SC,DB,28421,Landon Collins
1,SC,DB,8291,Eric Weddle
1,SC,DB,8275,Reggie Nelson
1,SC,DL,23990,Jason Pierre-Paul
1,SC,DL,9282,Robert Ayers Jr.
1,SC,LB,25768,Lavonte David
1,SC,LB,24030,Sean Lee
1,SC,LB,25787,Demario Davis
1,SC,BN,28436,Denzel Perryman
1,SC,BN,26667,Kawann Short
1,SC,BN,25731,Chandler Jones
1,SC,BN,29251,Keanu Neal
1,TJ,QB,9265,Matthew Stafford
1,TJ,WR,23997,Demaryius Thomas
1,TJ,WR,28392,Amari Cooper
1,TJ,RB,8261,Adrian Peterson
1,TJ,RB,25741,Doug Martin
1,TJ,TE,6663,Antonio Gates
1,TJ,W/R/T,27591,Jarvis Landry
1,TJ,BN,24858,DeMarco Murray
1,TJ,BN,28424,T.J. Yeldon
1,TJ,BN,28026,Willie Snead
1,TJ,BN,27597,Charles Sims
1,TJ,BN,24913,Bilal Powell
1,TJ,BN,9274,Michael Crabtree
1,TJ,K,9526,Graham Gano
1,TJ,DB,6767,DeAngelo Hall
1,TJ,DB,7956,Antoine Bethea
1,TJ,DB,9278,Malcolm Jenkins
1,TJ,DL,8827,Calais Campbell
1,TJ,DL,23977,Ndamukong Suh
1,TJ,LB,28472,Jordan Hicks
1,TJ,LB,8288,Paul Posluszny
1,TJ,LB,6792,Karlos Dansby
1,TJ,BN,26238,Vontaze Burfict
1,TJ,BN,27574,Stephon Tuitt
1,MW,QB,25711,Andrew Luck
1,MW,WR,8813,Jordy Nelson
1,MW,WR,24035,Golden Tate
1,MW,RB,28465,Duke Johnson Jr.
1,MW,RB,26817,Spencer Ware
1,MW,TE,26708,Jordan Reed
1,MW,W/R/T,26631,Tavon Austin
1,MW,BN,9514,Rashad Jennings
1,MW,BN,27556,Kelvin Benjamin
1,MW,BN,8850,Jamaal Charles
1,MW,BN,24400,Chris Ivory
1,MW,BN,28389,Jameis Winston
1,MW,BN,29255,Will Fuller V
1,MW,K,25427,Dan Bailey
1,MW,DB,25717,Mark Barron
1,MW,DB,28406,Marcus Peters
1,MW,DB,24603,Barry Church
1,MW,DL,24798,J.J. Watt
1,MW,DL,25722,Fletcher Cox
1,MW,LB,25719,Luke Kuechly
1,MW,LB,26653,Alec Ogletree
1,MW,LB,8301,David Harris
1,MW,BN,29266,Emmanuel Ogbah
1,MW,BN,25853,Josh Norman
1,JC,QB,7200,Aaron Rodgers
1,JC,WR,27540,Odell Beckham Jr.
1,JC,WR,27532,Sammy Watkins
1,JC,RB,26684,Eddie Lacy
1,JC,RB,8821,Matt Forte
1,JC,TE,8907,Gary Barnidge
1,JC,W/R/T,7776,DeAngelo Williams
1,JC,BN,9496,Julian Edelman
1,JC,BN,25810,Travis Benjamin
1,JC,BN,28014,Isaiah Crowell
1,JC,BN,29274,Sterling Shepard
1,JC,BN,9444,Zach Miller
1,JC,BN,28537,Jay Ajayi
1,JC,K,25885,Blair Walsh
1,JC,DB,27555,Deone Bucannon
1,JC,DB,23980,Eric Berry
1,JC,DB,26694,T.J. McDonald
1,JC,DL,27541,Aaron Donald
1,JC,DL,24801,Robert Quinn
1,JC,LB,25898,Danny Trevathan
1,JC,LB,26727,Jelani Jenkins
1,JC,LB,25029,Malcolm Smith
1,JC,BN,29349,De'Vondre Campbell
1,JC,BN,24857,Justin Houston
1,BT,QB,6763,Philip Rivers
1,BT,WR,9283,Jeremy Maclin
1,BT,WR,24171,Antonio Brown
1,BT,RB,23987,Ryan Mathews
1,BT,RB,27583,Jeremy Hill
1,BT,TE,25744,Coby Fleener
1,BT,W/R/T,25105,Doug Baldwin
1,BT,BN,26671,Le'Veon Bell
1,BT,BN,26561,Josh Gordon
1,BT,BN,26644,Tyler Eifert
1,BT,BN,28461,Tevin Coleman
1,BT,BN,27531,Blake Bortles
1,BT,K,26534,Justin Tucker
1,BT,DB,25739,Harrison Smith
1,BT,DB,26692,Tyrann Mathieu
1,BT,DB,24046,Morgan Burnett
1,BT,DL,27533,Khalil Mack
1,BT,DL,9568,Michael Bennett
1,BT,LB,24066,NaVorro Bowman
1,BT,LB,27672,Telvin Smith
1,BT,LB,28433,Eric Kendricks
1,BT,BN,7884,Rob Ninkovich
1,BT,BN,28419,Stephone Anthony
1,BT,BN,24887,Da'Norris Searcy
1,CR,QB,5479,Drew Brees
1,CR,WR,24791,A.J. Green
1,CR,WR,27589,Allen Robinson
1,CR,RB,26878,C.J. Anderson
1,CR,RB,7241,Frank Gore
1,CR,TE,8838,Martellus Bennett
1,CR,W/R/T,29249,Corey Coleman
1,CR,BN,24017,Rob Gronkowski
1,CR,BN,28714,Thomas Rawls
1,CR,BN,25723,Michael Floyd
1,CR,BN,25812,Kirk Cousins
1,CR,BN,29370,Devontae Booker
1,CR,K,7867,Stephen Gostkowski
1,CR,DB,24139,Reshad Jones
1,CR,DB,27549,Ha Ha Clinton-Dix
1,CR,DB,25090,Ron Parker
1,CR,DL,26628,Ezekiel Ansah
1,CR,DL,24006,Jerry Hughes
1,CR,LB,7191,Derrick Johnson
1,CR,LB,8269,Lawrence Timmons
1,CR,LB,25697,Jerrell Freeman
1,CR,BN,24095,Geno Atkins
1,CR,BN,24013,T.J. Ward
1,CR,BN,27040,Paul Worrilow
