Week,Team,Position,PID,Player
10,MM,QB,24788,Cam Newton
10,MM,WR,24793,Julio Jones
10,MM,WR,24057,Emmanuel Sanders
10,MM,RB,24815,Mark Ingram
10,MM,RB,29383,Paul Perkins
10,MM,TE,26658,Zach Ertz
10,MM,W/R/T,24851,Randall Cobb
10,MM,BN,28483,Matt Jones
10,MM,BN,25876,Marvin Jones Jr.
10,MM,BN,26804,Latavius Murray
10,MM,BN,29236,Carson Wentz
10,MM,BN,24916,Julius Thomas
10,MM,K,28227,Cairo Santos
10,MM,DB,24219,Kurt Coleman
10,MM,DB,25775,Trumaine Johnson
10,MM,DB,27630,Bashaud Breeland
10,MM,DL,24075,Everson Griffen
10,MM,DL,25782,Olivier Vernon
10,MM,LB,27679,Avery Williamson
10,MM,LB,25757,Bobby Wagner
10,MM,LB,28512,Kwon Alexander
10,MM,BN,28394,Leonard Williams
10,MM,BN,8422,Corey Graham
10,MM,BN,27599,Christian Kirksey
10,DB,QB,6763,Philip Rivers
10,DB,WR,7868,Brandon Marshall
10,DB,WR,27570,Jordan Matthews
10,DB,RB,28403,Melvin Gordon
10,DB,RB,25807,Lamar Miller
10,DB,TE,8285,Greg Olsen
10,DB,W/R/T,26650,DeAndre Hopkins
10,DB,BN,27581,Davante Adams
10,DB,BN,27299,Jack Doyle
10,DB,BN,27564,Derek Carr
10,DB,BN,28026,Willie Snead
10,DB,K,6243,Matt Bryant
10,DB,DB,25772,Casey Hayward
10,DB,DB,25994,Deshawn Shead
10,DB,DB,26638,Kenny Vaccaro
10,DB,DL,23978,Gerald McCoy
10,DB,DL,24029,Carlos Dunlap
10,DB,LB,27545,C.J. Mosley
10,DB,LB,25898,Danny Trevathan
10,DB,LB,6792,Karlos Dansby
10,DB,BN,25852,Brandon Marshall
10,DB,BN,28451,Frank Clark
10,DB,BN,27601,Preston Brown
10,DB,BN,25853,Josh Norman
10,DB,IR,26878,C.J. Anderson
10,MP,QB,7200,Aaron Rodgers
10,MP,WR,27548,Brandin Cooks
10,MP,WR,27535,Mike Evans
10,MP,RB,28474,David Johnson
10,MP,RB,26817,Spencer Ware
10,MP,TE,26644,Tyler Eifert
10,MP,W/R/T,27583,Jeremy Hill
10,MP,BN,23999,Dez Bryant
10,MP,BN,5228,Tom Brady
10,MP,BN,27622,Terrance West
10,MP,BN,24936,Dion Lewis
10,MP,BN,8926,Tim Hightower
10,MP,K,8447,Mason Crosby
10,MP,DB,24046,Morgan Burnett
10,MP,DB,27081,Tony Jefferson
10,MP,DB,25717,Mark Barron
10,MP,DL,27541,Aaron Donald
10,MP,DL,24817,Muhammad Wilkerson
10,MP,LB,27543,Ryan Shazier
10,MP,LB,26675,Jamie Collins Sr.
10,MP,LB,29448,Elandon Roberts
10,MP,BN,26656,Johnathan Cyprien
10,MP,BN,25762,Zach Brown
10,MP,BN,24801,Robert Quinn
10,TP,QB,6770,Ben Roethlisberger
10,TP,WR,9348,Mike Wallace
10,TP,WR,25755,Alshon Jeffery
10,TP,RB,27631,Devonta Freeman
10,TP,RB,29238,Ezekiel Elliott
10,TP,TE,26686,Travis Kelce
10,TP,W/R/T,6762,Larry Fitzgerald
10,TP,BN,28390,Marcus Mariota
10,TP,BN,27737,Quincy Enunwa
10,TP,BN,25802,T.Y. Hilton
10,TP,BN,27585,Carlos Hyde
10,TP,K,29754,Wil Lutz
10,TP,DB,28036,Daniel Sorensen
10,TP,DB,24109,Kam Chancellor
10,TP,DB,26707,Shawn Williams
10,TP,DL,27576,Timmy Jernigan
10,TP,DL,24811,Cameron Jordan
10,TP,LB,7190,Thomas Davis
10,TP,LB,26669,Kiko Alonso
10,TP,LB,28431,Benardrick McKinney
10,TP,BN,29248,Karl Joseph
10,TP,BN,24818,Cameron Heyward
10,TP,BN,7783,D'Qwell Jackson
10,TP,BN,26674,David Amerson
10,TP,IR,28442,Ameer Abdullah
10,SC,QB,6337,Carson Palmer
10,SC,WR,28534,Stefon Diggs
10,SC,WR,28402,DeVante Parker
10,SC,RB,23987,Ryan Mathews
10,SC,RB,24318,LeGarrette Blount
10,SC,TE,6405,Jason Witten
10,SC,W/R/T,26660,Giovani Bernard
10,SC,BN,8826,DeSean Jackson
10,SC,BN,24823,Colin Kaepernick
10,SC,BN,9317,LeSean McCoy
10,SC,BN,9274,Michael Crabtree
10,SC,BN,28494,Jeremy Langford
10,SC,K,25427,Dan Bailey
10,SC,DB,27180,Bradley McDougald
10,SC,DB,8291,Eric Weddle
10,SC,DB,7182,Adam Jones
10,SC,DL,26636,Sheldon Richardson
10,SC,DL,23990,Jason Pierre-Paul
10,SC,LB,25768,Lavonte David
10,SC,LB,24030,Sean Lee
10,SC,LB,25731,Chandler Jones
10,SC,BN,25848,Tahir Whitehead
10,SC,BN,8275,Reggie Nelson
10,SC,BN,28436,Denzel Perryman
10,SC,IR,24062,Eric Decker
10,TJ,QB,8795,Joe Flacco
10,TJ,WR,23997,Demaryius Thomas
10,TJ,WR,27591,Jarvis Landry
10,TJ,RB,24858,DeMarco Murray
10,TJ,RB,8790,Jonathan Stewart
10,TJ,TE,27593,C.J. Fiedorowicz
10,TJ,W/R/T,25681,Terrelle Pryor Sr.
10,TJ,BN,29560,Peyton Barber
10,TJ,BN,29279,Derrick Henry
10,TJ,BN,9265,Matthew Stafford
10,TJ,BN,28392,Amari Cooper
10,TJ,BN,25741,Doug Martin
10,TJ,K,27120,Brandon McManus
10,TJ,DB,9278,Malcolm Jenkins
10,TJ,DB,28421,Landon Collins
10,TJ,DB,7956,Antoine Bethea
10,TJ,DL,28476,Danielle Hunter
10,TJ,DL,8827,Calais Campbell
10,TJ,LB,28472,Jordan Hicks
10,TJ,LB,8288,Paul Posluszny
10,TJ,LB,26238,Vontaze Burfict
10,TJ,BN,25787,Demario Davis
10,TJ,BN,28438,Ronald Darby
10,TJ,IR,8261,Adrian Peterson
10,MW,QB,29369,Dak Prescott
10,MW,WR,8813,Jordy Nelson
10,MW,WR,27556,Kelvin Benjamin
10,MW,RB,29384,Jordan Howard
10,MW,RB,28398,Todd Gurley
10,MW,TE,7924,Delanie Walker
10,MW,W/R/T,29249,Corey Coleman
10,MW,BN,9444,Zach Miller
10,MW,BN,7306,Darren Sproles
10,MW,BN,26685,Christine Michael
10,MW,BN,27618,Donte Moncrief
10,MW,BN,25711,Andrew Luck
10,MW,BN,28493,Jamison Crowder
10,MW,BN,28691,Tyrell Williams
10,MW,K,7867,Stephen Gostkowski
10,MW,DB,29251,Keanu Neal
10,MW,DB,28406,Marcus Peters
10,MW,DB,25189,Chris Harris Jr.
10,MW,DL,29237,Joey Bosa
10,MW,DL,26749,William Gholston
10,MW,LB,25719,Luke Kuechly
10,MW,LB,26653,Alec Ogletree
10,MW,LB,27986,Zachary Orr
10,MW,BN,28497,Clayton Geathers
10,MW,IR,24603,Barry Church
10,JC,QB,24822,Andy Dalton
10,JC,WR,27540,Odell Beckham Jr.
10,JC,WR,26060,Cole Beasley
10,JC,RB,8821,Matt Forte
10,JC,RB,28014,Isaiah Crowell
10,JC,TE,26708,Jordan Reed
