Week,Team,Position,PID,Player
4,JC,QB,25812,Kirk Cousins
4,JC,WR,8813,Jordy Nelson
4,JC,WR,24553,Victor Cruz
4,JC,RB,26671,Le'Veon Bell
4,JC,RB,9527,Arian Foster
4,JC,TE,6405,Jason Witten
4,JC,W/R/T,9496,Julian Edelman
4,JC,BN,26652,Cordarrelle Patterson
4,JC,BN,4256,Peyton Manning
4,JC,BN,24400,Chris Ivory
4,JC,BN,8261,Adrian Peterson
4,JC,BN,26702,Markus Wheaton
4,JC,K,25885,Blair Walsh
4,JC,DB,7803,Bernard Pollard
4,JC,DB,27542,Kyle Fuller
4,JC,DB,25952,Antonio Allen
4,JC,DL,26636,Sheldon Richardson
4,JC,DL,23991,Derrick Morgan
4,JC,LB,7783,D'Qwell Jackson
4,JC,LB,24803,Ryan Kerrigan
4,JC,LB,9290,Clay Matthews
4,JC,BN,26653,Alec Ogletree
4,JC,BN,7187,DeMarcus Ware
4,JC,BN,24941,Richard Sherman
4,DB,QB,24788,Cam Newton
4,DB,WR,27548,Brandin Cooks
4,DB,WR,25773,Rueben Randle
4,DB,RB,26719,Knile Davis
4,DB,RB,25713,Trent Richardson
4,DB,TE,8838,Martellus Bennett
4,DB,W/R/T,7306,Darren Sproles
4,DB,BN,23984,C.J. Spiller
4,DB,BN,26660,Giovani Bernard
4,DB,BN,24791,A.J. Green
4,DB,BN,9286,Percy Harvin
4,DB,K,25427,Dan Bailey
4,DB,DB,26638,Kenny Vaccaro
4,DB,DB,24821,Aaron Williams
4,DB,DB,26674,David Amerson
4,DB,DL,23990,Jason Pierre-Paul
4,DB,DL,24189,Willie Young
4,DB,LB,27545,C.J. Mosley
4,DB,LB,27601,Preston Brown
4,DB,LB,25848,Tahir Whitehead
4,DB,BN,27543,Ryan Shazier
4,DB,BN,25852,Brandon Marshall
4,DB,BN,6792,Karlos Dansby
4,DB,BN,23978,Gerald McCoy
4,TP,QB,8780,Matt Ryan
4,TP,WR,9348,Mike Wallace
4,TP,WR,26650,DeAndre Hopkins
4,TP,RB,24858,DeMarco Murray
4,TP,RB,24860,Stevan Ridley
4,TP,TE,24017,Rob Gronkowski
4,TP,W/R/T,25730,Kendall Wright
4,TP,BN,24026,Toby Gerhart
4,TP,BN,24057,Emmanuel Sanders
4,TP,BN,23997,Demaryius Thomas
4,TP,BN,27582,Bishop Sankey
4,TP,BN,6624,Tony Romo
4,TP,K,6243,Matt Bryant
4,TP,DB,25739,Harrison Smith
4,TP,DB,7184,Antrel Rolle
4,TP,DB,8260,LaRon Landry
4,TP,DL,9691,Cameron Wake
4,TP,DL,7884,Rob Ninkovich
4,TP,LB,25719,Luke Kuechly
4,TP,LB,25768,Lavonte David
4,TP,LB,27040,Paul Worrilow
4,TP,BN,9133,James Ihedigbo
4,TP,BN,8688,Nick Roach
4,TP,BN,27081,Tony Jefferson
4,SC,QB,6770,Ben Roethlisberger
4,SC,WR,8001,Marques Colston
4,SC,WR,7868,Brandon Marshall
4,SC,RB,8063,Fred Jackson
4,SC,RB,27378,Khiry Robinson
4,SC,TE,8285,Greg Olsen
4,SC,W/R/T,24845,Torrey Smith
4,SC,BN,26810,Andre Ellington
4,SC,BN,8266,Marshawn Lynch
4,SC,BN,25785,Russell Wilson
4,SC,BN,24062,Eric Decker
4,SC,BN,9276,Knowshon Moreno
4,SC,BN,24135,Riley Cooper
4,SC,K,8447,Mason Crosby
4,SC,DB,24603,Barry Church
4,SC,DB,26655,Matt Elam
4,SC,DB,26680,D.J. Swearinger
4,SC,DL,24817,Muhammad Wilkerson
4,SC,DL,25782,Olivier Vernon
4,SC,LB,6798,Daryl Smith
4,SC,LB,8814,Curtis Lofton
4,SC,LB,24078,Perry Riley Jr.
4,SC,BN,24139,Reshad Jones
4,SC,BN,24864,Jurrell Casey
4,SC,IR,7865,Stephen Tulloch
4,MP,QB,7760,Jay Cutler
4,MP,WR,8256,Calvin Johnson
4,MP,WR,5477,Reggie Wayne
4,MP,RB,25883,Alfred Morris
4,MP,RB,8504,Ahmad Bradshaw
4,MP,TE,24070,Jimmy Graham
4,MP,W/R/T,9274,Michael Crabtree
4,MP,BN,24843,Shane Vereen
4,MP,BN,26783,Zac Stacy
4,MP,BN,26455,Bobby Rainey
4,MP,BN,24823,Colin Kaepernick
4,MP,BN,7203,Roddy White
4,MP,BN,7776,DeAngelo Williams
4,MP,K,7527,Shaun Suisham
4,MP,DB,27546,Calvin Pryor
4,MP,DB,26656,Johnathan Cyprien
4,MP,DB,24079,Alterraun Verner
4,MP,DL,7750,Mario Williams
4,MP,DL,7250,Justin Tuck
4,MP,LB,8265,Patrick Willis
4,MP,LB,9279,Brian Cushing
4,MP,LB,7769,Tamba Hali
4,MP,BN,9299,James Laurinaitis
4,MP,BN,23989,Earl Thomas
4,CR,QB,5479,Drew Brees
4,CR,WR,24851,Randall Cobb
4,CR,WR,8982,Pierre Garcon
4,CR,RB,8821,Matt Forte
4,CR,RB,25238,Matt Asiata
4,CR,TE,6663,Antonio Gates
4,CR,W/R/T,8826,DeSean Jackson
4,CR,BN,24916,Julius Thomas
4,CR,BN,26697,Terrance Williams
4,CR,BN,6783,Steven Jackson
4,CR,BN,25807,Lamar Miller
4,CR,K,7520,Robbie Gould
4,CR,DB,24806,Prince Amukamara
4,CR,DB,24002,Devin McCourty
4,CR,DB,9278,Malcolm Jenkins
4,CR,DL,25731,Chandler Jones
4,CR,DL,24019,Lamarr Houston
4,CR,LB,26720,Zaviar Gooden
4,CR,LB,26675,Jamie Collins
4,CR,LB,24827,Bruce Carter
4,CR,BN,25757,Bobby Wagner
4,CR,BN,24789,Von Miller
4,CR,BN,24109,Kam Chancellor
4,CR,BN,24013,T.J. Ward
4,MM,QB,25711,Andrew Luck
4,MM,WR,7237,Vincent Jackson
4,MM,WR,7801,Greg Jennings
4,MM,RB,26684,Eddie Lacy
4,MM,RB,9291,Donald Brown
4,MM,TE,25703,Larry Donnell
4,MM,W/R/T,5521,Steve Smith Sr.
4,MM,BN,27535,Mike Evans
4,MM,BN,9010,Justin Forsett
4,MM,BN,26681,Montee Ball
4,MM,BN,25723,Michael Floyd
4,MM,BN,24822,Andy Dalton
4,MM,BN,27583,Jeremy Hill
4,MM,K,7867,Stephen Gostkowski
4,MM,DB,24046,Morgan Burnett
4,MM,DB,8804,Antoine Cason
4,MM,DB,8380,Dashon Goldson
4,MM,DL,24798,J.J. Watt
4,MM,DL,25722,Fletcher Cox
4,MM,LB,8288,Paul Posluszny
4,MM,LB,9072,Wesley Woodyard
4,MM,LB,25787,Demario Davis
4,MM,BN,25898,Danny Trevathan
4,MM,BN,8275,Reggie Nelson
4,MM,IR,6371,Charles Tillman
4,MW,QB,7200,Aaron Rodgers
4,MW,WR,9283,Jeremy Maclin
4,MW,WR,27532,Sammy Watkins
4,MW,RB,9514,Rashad Jennings
4,MW,RB,7751,Reggie Bush
4,MW,TE,7924,Delanie Walker
4,MW,W/R/T,23999,Dez Bryant
4,MW,BN,27556,Kelvin Benjamin
4,MW,BN,26686,Travis Kelce
4,MW,BN,7027,Wes Welker
4,MW,BN,24815,Mark Ingram
4,MW,K,27911,Cody Parkey
4,MW,DB,4271,Charles Woodson
4,MW,DB,8788,Leodis McKelvin
4,MW,DB,8793,Dominique Rodgers-Cromartie
4,MW,DL,7841,Jason Hatcher
4,MW,DL,24805,Corey Liuget
