Date,Type,Player/Pick,Source,Destination
2014-08-24,add,LeSean McCoy,draftpicks,BT
2014-08-24,add,Jamaal Charles,draftpicks,TJ
2014-08-24,add,Matt Forte,draftpicks,CR
2014-08-24,add,Adrian Peterson,draftpicks,JC
2014-08-24,add,Eddie Lacy,draftpicks,MM
2014-08-24,add,DeMarco Murray,draftpicks,TP
2014-08-24,add,Giovani Bernard,draftpicks,DB
2014-08-24,add,Calvin Johnson,draftpicks,MP
2014-08-24,add,Marshawn Lynch,draftpicks,SC
2014-08-24,add,Aaron Rodgers,draftpicks,MW
2014-08-24,add,Dez Bryant,draftpicks,MW
2014-08-24,add,Brandon Marshall,draftpicks,SC
2014-08-24,add,Jimmy Graham,draftpicks,MP
2014-08-24,add,A.J. Green,draftpicks,DB
2014-08-24,add,Demaryius Thomas,draftpicks,TP
2014-08-24,add,Montee Ball,draftpicks,MM
2014-08-24,add,Peyton Manning,draftpicks,JC
2014-08-24,add,Drew Brees,draftpicks,CR
2014-08-24,add,Antonio Brown,draftpicks,TJ
2014-08-24,add,Julio Jones,draftpicks,BT
2014-08-24,add,Alshon Jeffrey,draftpicks,BT
2014-08-24,add,Matthew Stafford,draftpicks,TJ
2014-08-24,add,Randall Cobb,draftpicks,CR
2014-08-24,add,Jordy Nelson,draftpicks,JC
2014-08-24,add,Andrew Luck,draftpicks,MM
2014-08-24,add,Rob Gronkowski,draftpicks,TP
2014-08-24,add,Cam Newton,draftpicks,DB
2014-08-24,add,Alfred Morris,draftpicks,MP
2014-08-24,add,Russell Wilson,draftpicks,SC
2014-08-24,add,Reggie Bush,draftpicks,MW
2014-08-24,add,Chris Johnson,draftpicks,MW
2014-08-24,add,Andre Ellington,draftpicks,SC
2014-08-24,add,Arian Foster,draftpicks,MP
2014-08-24,add,C.J. Spiller,draftpicks,DB
2014-08-24,add,Matt Ryan,draftpicks,TP
2014-08-24,add,J.J. Watt,draftpicks,MM
2014-08-24,add,Zac Stacy,draftpicks,JC
2014-08-24,trade,Zac Stacy,JC,MP
2014-08-24,trade,Arian Foster,MP,JC
2014-08-24,add,Julius Thomas,draftpicks,CR
