Week,Team,Position,PID,Player
6,MM,QB,27531,Blake Bortles
6,MM,WR,24171,Antonio Brown
6,MM,WR,8256,Calvin Johnson
6,MM,RB,9010,Justin Forsett
6,MM,RB,8790,Jonathan Stewart
6,MM,TE,26686,Travis Kelce
6,MM,W/R/T,27619,John Brown
6,MM,BN,8982,Pierre Garcon
6,MM,BN,25741,Doug Martin
6,MM,BN,24788,Cam Newton
6,MM,BN,28461,Tevin Coleman
6,MM,K,4269,Phil Dawson
6,MM,DB,27549,Ha Ha Clinton-Dix
6,MM,DB,8422,Corey Graham
6,MM,DB,9319,William Moore
6,MM,DL,8827,Calais Campbell
6,MM,DL,28394,Leonard Williams
6,MM,LB,25829,Keenan Robinson
6,MM,LB,27040,Paul Worrilow
6,MM,LB,28433,Eric Kendricks
6,MM,BN,24030,Sean Lee
6,MM,BN,24151,Greg Hardy
6,MM,BN,25787,Demario Davis
6,MM,BN,6870,Will Allen
6,MM,IR,8337,Charles Johnson
6,DB,QB,25785,Russell Wilson
6,DB,WR,26650,DeAndre Hopkins
6,DB,WR,7868,Brandon Marshall
6,DB,RB,8821,Matt Forte
6,DB,RB,25807,Lamar Miller
6,DB,TE,8838,Martellus Bennett
6,DB,W/R/T,27874,Allen Hurns
6,DB,BN,8801,Chris Johnson
6,DB,BN,26810,Andre Ellington
6,DB,BN,24035,Golden Tate
6,DB,BN,24916,Julius Thomas
6,DB,K,7520,Robbie Gould
6,DB,DB,28406,Marcus Peters
6,DB,DB,26638,Kenny Vaccaro
6,DB,DB,25853,Josh Norman
6,DB,DL,25824,Jaye Howard
6,DB,DL,23977,Ndamukong Suh
6,DB,LB,27545,C.J. Mosley
6,DB,LB,27601,Preston Brown
6,DB,LB,24336,Vincent Rey
6,DB,BN,7884,Rob Ninkovich
6,DB,BN,24801,Robert Quinn
6,DB,BN,24880,Chris Conte
6,DB,BN,9467,Jason McCourty
6,MP,QB,6337,Carson Palmer
6,MP,WR,24791,A.J. Green
6,MP,WR,27570,Jordan Matthews
6,MP,RB,27583,Jeremy Hill
6,MP,RB,24843,Shane Vereen
6,MP,TE,6663,Antonio Gates
6,MP,W/R/T,9560,Danny Woodhead
6,MP,BN,6760,Eli Manning
6,MP,BN,28398,Todd Gurley
6,MP,BN,27532,Sammy Watkins
6,MP,BN,26719,Knile Davis
6,MP,BN,26685,Christine Michael
6,MP,K,28103,Chandler Catanzaro
6,MP,DB,24109,Kam Chancellor
6,MP,DB,7182,Adam Jones
6,MP,DB,25739,Harrison Smith
6,MP,DL,24798,J.J. Watt
6,MP,DL,24075,Everson Griffen
6,MP,LB,25815,Nigel Bradham
6,MP,LB,27672,Telvin Smith
6,MP,LB,23991,Derrick Morgan
6,MP,BN,26636,Sheldon Richardson
6,MP,BN,24086,Walter Thurmond
6,MP,BN,28419,Stephone Anthony
6,TP,QB,5228,Tom Brady
6,TP,WR,23997,Demaryius Thomas
6,TP,WR,24057,Emmanuel Sanders
6,TP,RB,7241,Frank Gore
6,TP,RB,27631,Devonta Freeman
6,TP,TE,8285,Greg Olsen
6,TP,W/R/T,6762,Larry Fitzgerald
6,TP,BN,27626,Richard Rodgers
6,TP,BN,28442,Ameer Abdullah
6,TP,BN,25755,Alshon Jeffery
6,TP,BN,25810,Travis Benjamin
6,TP,K,6558,Josh Brown
6,TP,DB,9376,Glover Quin
6,TP,DB,28421,Landon Collins
6,TP,DB,24002,Devin McCourty
6,TP,DL,24006,Jerry Hughes
6,TP,DL,24811,Cameron Jordan
6,TP,LB,24886,K.J. Wright
6,TP,LB,26727,Jelani Jenkins
6,TP,LB,7190,Thomas Davis
6,TP,BN,9133,James Ihedigbo
6,TP,BN,9299,James Laurinaitis
6,TP,BN,26694,T.J. McDonald
6,TP,BN,24095,Geno Atkins
6,TP,IR,6624,Tony Romo
6,SC,QB,8780,Matt Ryan
6,SC,WR,26699,Keenan Allen
6,SC,WR,25730,Kendall Wright
6,SC,RB,26660,Giovani Bernard
6,SC,RB,8261,Adrian Peterson
6,SC,TE,7924,Delanie Walker
6,SC,W/R/T,24062,Eric Decker
6,SC,BN,6405,Jason Witten
6,SC,BN,9514,Rashad Jennings
6,SC,BN,24845,Torrey Smith
6,SC,BN,28543,Karlos Williams
6,SC,BN,9317,LeSean McCoy
6,SC,BN,8826,DeSean Jackson
6,SC,K,8447,Mason Crosby
6,SC,DB,26656,Johnathan Cyprien
6,SC,DB,24139,Reshad Jones
6,SC,DB,9359,Rashad Johnson
6,SC,DL,25722,Fletcher Cox
