Week,Team,Position,PID,Player
1,MM,QB,5479,Drew Brees
1,MM,WR,24171,Antonio Brown
1,MM,WR,8256,Calvin Johnson
1,MM,RB,9010,Justin Forsett
1,MM,RB,8790,Jonathan Stewart
1,MM,TE,26686,Travis Kelce
1,MM,W/R/T,28461,Tevin Coleman
1,MM,BN,27619,John Brown
1,MM,BN,25741,Doug Martin
1,MM,BN,8819,Eddie Royal
1,MM,BN,28390,Marcus Mariota
1,MM,K,25427,Dan Bailey
1,MM,DB,27549,Ha Ha Clinton-Dix
1,MM,DB,8422,Corey Graham
1,MM,DB,6371,Charles Tillman
1,MM,DL,8827,Calais Campbell
1,MM,DL,8337,Charles Johnson
1,MM,LB,24030,Sean Lee
1,MM,LB,27040,Paul Worrilow
1,MM,LB,25829,Keenan Robinson
1,MM,BN,25787,Demario Davis
1,MM,BN,28433,Eric Kendricks
1,MM,BN,8779,Chris Long
1,MM,BN,28394,Leonard Williams
1,DB,QB,25785,Russell Wilson
1,DB,WR,7868,Brandon Marshall
1,DB,WR,26650,DeAndre Hopkins
1,DB,RB,8821,Matt Forte
1,DB,RB,25807,Lamar Miller
1,DB,TE,8838,Martellus Bennett
1,DB,W/R/T,26810,Andre Ellington
1,DB,BN,24035,Golden Tate
1,DB,BN,6390,Anquan Boldin
1,DB,BN,24916,Julius Thomas
1,DB,K,3727,Adam Vinatieri
1,DB,DB,4271,Charles Woodson
1,DB,DB,24887,Da'Norris Searcy
1,DB,DB,25772,Casey Hayward
1,DB,DL,7884,Rob Ninkovich
1,DB,DL,23977,Ndamukong Suh
1,DB,LB,27545,C.J. Mosley
1,DB,LB,27601,Preston Brown
1,DB,LB,24336,Vincent Rey
1,DB,BN,8814,Curtis Lofton
1,DB,BN,25782,Olivier Vernon
1,DB,BN,24818,Cameron Heyward
1,DB,BN,9467,Jason McCourty
1,DB,BN,26638,Kenny Vaccaro
1,MP,QB,6760,Eli Manning
1,MP,WR,24791,A.J. Green
1,MP,WR,27581,Davante Adams
1,MP,RB,8850,Jamaal Charles
1,MP,RB,27583,Jeremy Hill
1,MP,TE,25774,Dwayne Allen
1,MP,W/R/T,27570,Jordan Matthews
1,MP,BN,9514,Rashad Jennings
1,MP,BN,28398,Todd Gurley
1,MP,BN,23987,Ryan Mathews
1,MP,BN,26702,Markus Wheaton
1,MP,BN,28402,DeVante Parker
1,MP,BN,27532,Sammy Watkins
1,MP,K,27911,Cody Parkey
1,MP,DB,25739,Harrison Smith
1,MP,DB,28421,Landon Collins
1,MP,DB,27180,Bradley McDougald
1,MP,DL,24798,J.J. Watt
1,MP,DL,24075,Everson Griffen
1,MP,LB,26653,Alec Ogletree
1,MP,LB,25815,Nigel Bradham
1,MP,LB,27672,Telvin Smith
1,MP,BN,28419,Stephone Anthony
1,MP,BN,24109,Kam Chancellor
1,TP,QB,5228,Tom Brady
1,TP,WR,23997,Demaryius Thomas
1,TP,WR,24057,Emmanuel Sanders
1,TP,RB,7241,Frank Gore
1,TP,RB,27709,Alfred Blue
1,TP,TE,8285,Greg Olsen
1,TP,W/R/T,25755,Alshon Jeffery
1,TP,BN,27631,Devonta Freeman
1,TP,BN,6624,Tony Romo
1,TP,BN,28442,Ameer Abdullah
1,TP,BN,24843,Shane Vereen
1,TP,BN,6762,Larry Fitzgerald
1,TP,K,4269,Phil Dawson
1,TP,DB,26694,T.J. McDonald
1,TP,DB,9133,James Ihedigbo
1,TP,DB,9376,Glover Quin
1,TP,DL,24811,Cameron Jordan
1,TP,DL,24006,Jerry Hughes
1,TP,LB,26669,Kiko Alonso
1,TP,LB,26727,Jelani Jenkins
1,TP,LB,9299,James Laurinaitis
1,TP,BN,7184,Antrel Rolle
1,TP,BN,24095,Geno Atkins
1,TP,BN,26743,Gerald Hodges Jr.
1,SC,QB,25718,Ryan Tannehill
1,SC,WR,26699,Keenan Allen
1,SC,WR,8826,DeSean Jackson
1,SC,RB,8261,Adrian Peterson
1,SC,RB,9317,LeSean McCoy
1,SC,TE,6405,Jason Witten
1,SC,W/R/T,24062,Eric Decker
1,SC,BN,26660,Giovani Bernard
1,SC,BN,8780,Matt Ryan
1,SC,BN,24845,Torrey Smith
1,SC,BN,24053,Brandon LaFell
1,SC,K,8447,Mason Crosby
1,SC,DB,24139,Reshad Jones
1,SC,DB,26656,Johnathan Cyprien
1,SC,DB,27542,Kyle Fuller
1,SC,DL,25722,Fletcher Cox
1,SC,DL,24864,Jurrell Casey
