Week,Team,Position,PID,Player
2,MM,QB,24788,Cam Newton
2,MM,WR,24793,Julio Jones
2,MM,WR,24851,Randall Cobb
2,MM,RB,24815,Mark Ingram
2,MM,RB,26804,Latavius Murray
2,MM,TE,24916,Julius Thomas
2,MM,W/R/T,9560,Danny Woodhead
2,MM,BN,26658,Zach Ertz
2,MM,BN,25876,Marvin Jones Jr.
2,MM,BN,24057,Emmanuel Sanders
2,MM,BN,28483,Matt Jones
2,MM,BN,28457,Tyler Lockett
2,MM,K,8447,Mason Crosby
2,MM,DB,8422,Corey Graham
2,MM,DB,27630,Bashaud Breeland
2,MM,DB,24219,Kurt Coleman
2,MM,DL,25782,Olivier Vernon
2,MM,DL,28394,Leonard Williams
2,MM,LB,25757,Bobby Wagner
2,MM,LB,28512,Kwon Alexander
2,MM,LB,26689,Sio Moore
2,MM,BN,9340,DeAndre Levy
2,MM,BN,24075,Everson Griffen
2,MM,BN,24806,Prince Amukamara
2,DB,QB,27564,Derek Carr
2,DB,WR,7868,Brandon Marshall
2,DB,WR,26650,DeAndre Hopkins
2,DB,RB,25807,Lamar Miller
2,DB,RB,28403,Melvin Gordon
2,DB,TE,8285,Greg Olsen
2,DB,W/R/T,27570,Jordan Matthews
2,DB,BN,25785,Russell Wilson
2,DB,BN,27874,Allen Hurns
2,DB,BN,8790,Jonathan Stewart
2,DB,BN,24070,Jimmy Graham
2,DB,BN,26822,Theo Riddick
2,DB,K,27120,Brandon McManus
2,DB,DB,26638,Kenny Vaccaro
2,DB,DB,7121,Mike Adams
2,DB,DB,23989,Earl Thomas
2,DB,DL,24864,Jurrell Casey
2,DB,DL,24029,Carlos Dunlap
2,DB,LB,27545,C.J. Mosley
2,DB,LB,27601,Preston Brown
2,DB,LB,25852,Brandon Marshall
2,DB,BN,8779,Chris Long
2,DB,BN,7750,Mario Williams
2,DB,BN,27537,Anthony Barr
2,MP,QB,6760,Eli Manning
2,MP,WR,27535,Mike Evans
2,MP,WR,27548,Brandin Cooks
2,MP,RB,28398,Todd Gurley
2,MP,RB,28474,David Johnson
2,MP,TE,7924,Delanie Walker
2,MP,W/R/T,27538,Eric Ebron
2,MP,BN,23999,Dez Bryant
2,MP,BN,27618,Donte Moncrief
2,MP,BN,9527,Arian Foster
2,MP,BN,5228,Tom Brady
2,MP,BN,28395,Kevin White
2,MP,BN,29279,Derrick Henry
2,MP,BN,26685,Christine Michael
2,MP,K,9066,Stephen Hauschka
2,MP,DB,26656,Johnathan Cyprien
2,MP,DB,28503,Ibraheim Campbell
2,MP,DB,27081,Tony Jefferson
2,MP,DL,24817,Muhammad Wilkerson
2,MP,DL,24824,Jabaal Sheard
2,MP,LB,26675,Jamie Collins Sr.
2,MP,LB,27543,Ryan Shazier
2,MP,LB,28528,Ben Heeney
2,MP,BN,28476,Danielle Hunter
2,TP,QB,6770,Ben Roethlisberger
2,TP,WR,25755,Alshon Jeffery
2,TP,WR,6762,Larry Fitzgerald
2,TP,RB,29238,Ezekiel Elliott
2,TP,RB,27631,Devonta Freeman
2,TP,TE,26686,Travis Kelce
2,TP,W/R/T,27585,Carlos Hyde
2,TP,BN,25802,T.Y. Hilton
2,TP,BN,28417,Phillip Dorsett
2,TP,BN,28442,Ameer Abdullah
2,TP,BN,25937,Rishard Matthews
2,TP,BN,27624,Jerick McKinnon
2,TP,K,28103,Chandler Catanzaro
2,TP,DB,24109,Kam Chancellor
2,TP,DB,27546,Calvin Pryor
2,TP,DB,29286,Su'a Cravens
2,TP,DL,24811,Cameron Jordan
2,TP,DL,24818,Cameron Heyward
2,TP,LB,7783,D'Qwell Jackson
2,TP,LB,7190,Thomas Davis
2,TP,LB,26669,Kiko Alonso
2,TP,BN,28431,Benardrick McKinney
2,TP,BN,29248,Karl Joseph
2,TP,BN,9691,Cameron Wake
2,SC,QB,6337,Carson Palmer
2,SC,WR,24062,Eric Decker
2,SC,WR,8826,DeSean Jackson
2,SC,RB,9317,LeSean McCoy
2,SC,RB,28494,Jeremy Langford
2,SC,TE,25774,Dwayne Allen
2,SC,W/R/T,24318,LeGarrette Blount
2,SC,BN,27619,John Brown
2,SC,BN,26699,Keenan Allen
2,SC,BN,26660,Giovani Bernard
2,SC,BN,28402,DeVante Parker
2,SC,K,3727,Adam Vinatieri
2,SC,DB,28421,Landon Collins
2,SC,DB,8291,Eric Weddle
2,SC,DB,8275,Reggie Nelson
2,SC,DL,23990,Jason Pierre-Paul
2,SC,DL,9282,Robert Ayers Jr.
2,SC,LB,25768,Lavonte David
2,SC,LB,24030,Sean Lee
2,SC,LB,25787,Demario Davis
2,SC,BN,28436,Denzel Perryman
2,SC,BN,26667,Kawann Short
2,SC,BN,25731,Chandler Jones
2,SC,BN,29251,Keanu Neal
2,TJ,QB,9265,Matthew Stafford
2,TJ,WR,28392,Amari Cooper
2,TJ,WR,28026,Willie Snead
2,TJ,RB,8261,Adrian Peterson
2,TJ,RB,24858,DeMarco Murray
2,TJ,TE,6663,Antonio Gates
2,TJ,W/R/T,27591,Jarvis Landry
2,TJ,BN,25741,Doug Martin
2,TJ,BN,23997,Demaryius Thomas
2,TJ,BN,28424,T.J. Yeldon
2,TJ,BN,27597,Charles Sims
2,TJ,BN,24913,Bilal Powell
2,TJ,BN,9274,Michael Crabtree
2,TJ,K,9526,Graham Gano
2,TJ,DB,6767,DeAngelo Hall
2,TJ,DB,7956,Antoine Bethea
2,TJ,DB,9278,Malcolm Jenkins
2,TJ,DL,8827,Calais Campbell
2,TJ,DL,23977,Ndamukong Suh
2,TJ,LB,28472,Jordan Hicks
2,TJ,LB,8288,Paul Posluszny
2,TJ,LB,6792,Karlos Dansby
2,TJ,BN,26238,Vontaze Burfict
2,TJ,BN,27574,Stephon Tuitt
2,MW,QB,25711,Andrew Luck
2,MW,WR,8813,Jordy Nelson
2,MW,WR,27556,Kelvin Benjamin
2,MW,RB,26817,Spencer Ware
2,MW,RB,9514,Rashad Jennings
2,MW,TE,26708,Jordan Reed
2,MW,W/R/T,24035,Golden Tate
2,MW,BN,29255,Will Fuller V
2,MW,BN,9348,Mike Wallace
2,MW,BN,28389,Jameis Winston
2,MW,BN,28465,Duke Johnson Jr.
2,MW,BN,8850,Jamaal Charles
2,MW,BN,30000,Jalen Richard
2,MW,K,25427,Dan Bailey
2,MW,DB,25717,Mark Barron
2,MW,DB,24603,Barry Church
2,MW,DB,28406,Marcus Peters
2,MW,DL,24798,J.J. Watt
2,MW,DL,25722,Fletcher Cox
2,MW,LB,25719,Luke Kuechly
2,MW,LB,26653,Alec Ogletree
2,MW,LB,24886,K.J. Wright
2,MW,BN,8301,David Harris
2,MW,BN,25275,Isa Abdul-Quddus
2,JC,QB,7200,Aaron Rodgers
2,JC,WR,27540,Odell Beckham Jr.
2,JC,WR,9496,Julian Edelman
2,JC,RB,8821,Matt Forte
2,JC,RB,7776,DeAngelo Williams
2,JC,TE,8907,Gary Barnidge
2,JC,W/R/T,26684,Eddie Lacy
2,JC,BN,25810,Travis Benjamin
2,JC,BN,27532,Sammy Watkins
2,JC,BN,28014,Isaiah Crowell
2,JC,BN,29274,Sterling Shepard
2,JC,BN,9444,Zach Miller
2,JC,BN,9010,Justin Forsett
2,JC,K,25885,Blair Walsh
2,JC,DB,27555,Deone Bucannon
2,JC,DB,23980,Eric Berry
2,JC,DB,26694,T.J. McDonald
2,JC,DL,27541,Aaron Donald
2,JC,DL,24801,Robert Quinn
2,JC,LB,25898,Danny Trevathan
2,JC,LB,25029,Malcolm Smith
2,JC,LB,27647,Anthony Hitchens
2,JC,BN,29349,De'Vondre Campbell
2,JC,BN,26727,Jelani Jenkins
2,BT,QB,27531,Blake Bortles
2,BT,WR,9283,Jeremy Maclin
2,BT,WR,24171,Antonio Brown
2,BT,RB,23987,Ryan Mathews
2,BT,RB,27583,Jeremy Hill
2,BT,TE,25744,Coby Fleener
2,BT,W/R/T,25105,Doug Baldwin
2,BT,BN,6763,Philip Rivers
2,BT,BN,26671,Le'Veon Bell
2,BT,BN,26561,Josh Gordon
2,BT,BN,26644,Tyler Eifert
2,BT,BN,28461,Tevin Coleman
2,BT,K,26534,Justin Tucker
2,BT,DB,25739,Harrison Smith
2,BT,DB,26692,Tyrann Mathieu
2,BT,DB,24046,Morgan Burnett
2,BT,DL,27533,Khalil Mack
2,BT,DL,9568,Michael Bennett
2,BT,LB,24066,NaVorro Bowman
2,BT,LB,27672,Telvin Smith
2,BT,LB,28433,Eric Kendricks
2,BT,BN,7884,Rob Ninkovich
2,BT,BN,24887,Da'Norris Searcy
2,BT,BN,24871,Mason Foster
2,CR,QB,5479,Drew Brees
2,CR,WR,24791,A.J. Green
