Week,Team,Position,PID,Player
4,MM,QB,24788,Cam Newton
4,MM,WR,24171,Antonio Brown
4,MM,WR,8256,Calvin Johnson
4,MM,RB,9010,Justin Forsett
4,MM,RB,8790,Jonathan Stewart
4,MM,TE,26686,Travis Kelce
4,MM,W/R/T,27619,John Brown
4,MM,BN,28390,Marcus Mariota
4,MM,BN,28461,Tevin Coleman
4,MM,BN,25741,Doug Martin
4,MM,BN,8982,Pierre Garcon
4,MM,K,25427,Dan Bailey
4,MM,DB,27549,Ha Ha Clinton-Dix
4,MM,DB,8422,Corey Graham
4,MM,DB,9319,William Moore
4,MM,DL,8827,Calais Campbell
4,MM,DL,28394,Leonard Williams
4,MM,LB,24030,Sean Lee
4,MM,LB,25829,Keenan Robinson
4,MM,LB,27040,Paul Worrilow
4,MM,BN,25787,Demario Davis
4,MM,BN,6371,Charles Tillman
4,MM,BN,28433,Eric Kendricks
4,MM,IR,8337,Charles Johnson
4,DB,QB,25785,Russell Wilson
4,DB,WR,7868,Brandon Marshall
4,DB,WR,26650,DeAndre Hopkins
4,DB,RB,8821,Matt Forte
4,DB,RB,25807,Lamar Miller
4,DB,TE,8838,Martellus Bennett
4,DB,W/R/T,8801,Chris Johnson
4,DB,BN,26810,Andre Ellington
4,DB,BN,6390,Anquan Boldin
4,DB,BN,24035,Golden Tate
4,DB,BN,24916,Julius Thomas
4,DB,K,7520,Robbie Gould
4,DB,DB,25853,Josh Norman
4,DB,DB,8797,Aqib Talib
4,DB,DB,28406,Marcus Peters
4,DB,DL,23977,Ndamukong Suh
4,DB,DL,25824,Jaye Howard
4,DB,LB,27545,C.J. Mosley
4,DB,LB,27601,Preston Brown
4,DB,LB,24336,Vincent Rey
4,DB,BN,26638,Kenny Vaccaro
4,DB,BN,7884,Rob Ninkovich
4,DB,BN,8814,Curtis Lofton
4,DB,BN,9467,Jason McCourty
4,MP,QB,6337,Carson Palmer
4,MP,WR,24791,A.J. Green
4,MP,WR,27570,Jordan Matthews
4,MP,RB,8850,Jamaal Charles
4,MP,RB,27583,Jeremy Hill
4,MP,TE,7206,Heath Miller
4,MP,W/R/T,9560,Danny Woodhead
4,MP,BN,6760,Eli Manning
4,MP,BN,28398,Todd Gurley
4,MP,BN,23987,Ryan Mathews
4,MP,BN,27532,Sammy Watkins
4,MP,BN,28714,Thomas Rawls
4,MP,BN,5479,Drew Brees
4,MP,BN,27531,Blake Bortles
4,MP,BN,7760,Jay Cutler
4,MP,K,5046,Sebastian Janikowski
4,MP,DB,25739,Harrison Smith
4,MP,DB,7182,Adam Jones
4,MP,DB,24109,Kam Chancellor
4,MP,DL,24798,J.J. Watt
