PID,Player,Week,Passing TD,Interceptions,1 Passing Yd,Rushing TD,1 Rushing Yd,Reception TD,Receptions,1 Reception Yd,Return TD,2-pt Conversion,Fumbles Lost,Offensive Fumble Return TD,FG 0-19 Yds,FG 20-29 Yds,FG 30-39 Yds,FG 40-49 Yds,FG 50+ Yds,PAT,Tackle Solo,Tackle Assist,Sack,Interception,Fumble Force,Fumble Recovery,Defensive TD,Safety,Pass Defended,Block Kick,Tackles For Loss
24788,Cam Newton,4,2,0,124,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24171,Antonio Brown,4,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8256,Calvin Johnson,4,0,0,0,0,0,0,7,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9010,Justin Forsett,4,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8790,Jonathan Stewart,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26686,Travis Kelce,4,0,0,0,0,0,0,5,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27619,John Brown,4,0,0,0,0,13,0,7,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28390,Marcus Mariota,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28461,Tevin Coleman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25741,Doug Martin,4,0,0,0,1,106,0,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8982,Pierre Garcon,4,0,0,0,0,0,1,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25427,Dan Bailey,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
27549,Ha Ha Clinton-Dix,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0,0,0,0,0,0,0,0
8422,Corey Graham,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1.0,0,0,0,0,0,0,0,1
9319,William Moore,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0,1,0,0,0,1,0,0
8827,Calais Campbell,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0.5,0,0,0,0,0,0,0,3
28394,Leonard Williams,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0,0,0,0,0,0,0,1
24030,Sean Lee,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0,0,0,0,0,0,0,0
25829,Keenan Robinson,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0,0,1,0,0,0,0,0
27040,Paul Worrilow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0,0,0,0,0,0,0,0
25787,Demario Davis,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,2,0,0
6371,Charles Tillman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0,0
