Week,Team,Position,PID,Player
15,JC,QB,4256,Peyton Manning
15,JC,WR,8813,Jordy Nelson
15,JC,WR,9496,Julian Edelman
15,JC,RB,9527,Arian Foster
15,JC,RB,26671,Le'Veon Bell
15,JC,TE,25774,Dwayne Allen
15,JC,W/R/T,27540,Odell Beckham Jr.
15,JC,BN,26807,Mychal Rivera
15,JC,BN,27624,Jerick McKinnon
15,JC,BN,24400,Chris Ivory
15,JC,BN,26699,Keenan Allen
15,JC,K,9032,Dan Carpenter
15,JC,DB,26694,T.J. McDonald
15,JC,DB,8273,Michael Griffin
15,JC,DB,24941,Richard Sherman
15,JC,DL,8931,Kroy Biermann
15,JC,DL,26636,Sheldon Richardson
15,JC,LB,26653,Alec Ogletree
15,JC,LB,7783,D'Qwell Jackson
15,JC,LB,24803,Ryan Kerrigan
15,JC,BN,27542,Kyle Fuller
15,JC,BN,7187,DeMarcus Ware
15,JC,BN,9290,Clay Matthews
15,JC,BN,26727,Jelani Jenkins
15,JC,IR,24553,Victor Cruz
15,DB,QB,7760,Jay Cutler
15,DB,WR,24791,A.J. Green
15,DB,WR,25793,Mohamed Sanu
15,DB,RB,9317,LeSean McCoy
15,DB,RB,24262,Joique Bell
15,DB,TE,8838,Martellus Bennett
15,DB,W/R/T,6405,Jason Witten
15,DB,BN,24788,Cam Newton
15,DB,BN,26660,Giovani Bernard
15,DB,BN,25773,Rueben Randle
15,DB,BN,9286,Percy Harvin
15,DB,BN,25713,Trent Richardson
15,DB,BN,26719,Knile Davis
15,DB,BN,24318,LeGarrette Blount
15,DB,K,25427,Dan Bailey
15,DB,DB,25189,Chris Harris Jr.
15,DB,DB,25775,Trumaine Johnson
15,DB,DB,8971,Ryan Mundy
15,DB,DL,23978,Gerald McCoy
15,DB,DL,23990,Jason Pierre-Paul
15,DB,LB,27545,C.J. Mosley
15,DB,LB,25848,Tahir Whitehead
15,DB,LB,25735,Dont'a Hightower
15,DB,BN,24189,Willie Young
15,DB,IR,8475,Trumaine McBride
15,TP,QB,8780,Matt Ryan
15,TP,WR,23997,Demaryius Thomas
15,TP,WR,24057,Emmanuel Sanders
15,TP,RB,25883,Alfred Morris
15,TP,RB,24858,DeMarco Murray
15,TP,TE,24017,Rob Gronkowski
15,TP,W/R/T,9348,Mike Wallace
15,TP,BN,6624,Tony Romo
15,TP,BN,23987,Ryan Mathews
15,TP,BN,27666,Lorenzo Taliaferro
15,TP,BN,25730,Kendall Wright
15,TP,K,27911,Cody Parkey
15,TP,DB,9133,James Ihedigbo
15,TP,DB,25739,Harrison Smith
15,TP,DB,7184,Antrel Rolle
15,TP,DL,9691,Cameron Wake
15,TP,DL,24790,Marcell Dareus
15,TP,LB,27040,Paul Worrilow
15,TP,LB,25719,Luke Kuechly
15,TP,LB,25815,Nigel Bradham
15,TP,BN,9299,James Laurinaitis
15,TP,BN,25768,Lavonte David
15,TP,BN,8607,Brent Grimes
15,TP,BN,24873,Allen Bailey
15,TP,IR,24860,Stevan Ridley
15,MW,QB,7200,Aaron Rodgers
15,MW,WR,9283,Jeremy Maclin
15,MW,WR,27570,Jordan Matthews
15,MW,RB,24815,Mark Ingram
15,MW,RB,26853,Kerwynn Williams
15,MW,TE,24070,Jimmy Graham
15,MW,W/R/T,23999,Dez Bryant
15,MW,BN,8982,Pierre Garcon
15,MW,BN,24793,Julio Jones
15,MW,BN,6783,Steven Jackson
15,MW,BN,9514,Rashad Jennings
15,MW,BN,7924,Delanie Walker
15,MW,K,26789,Caleb Sturgis
15,MW,DB,23982,Joe Haden
15,MW,DB,7121,Mike Adams
15,MW,DB,9467,Jason McCourty
15,MW,DL,24801,Robert Quinn
15,MW,DL,24006,Jerry Hughes
15,MW,LB,24857,Justin Houston
15,MW,LB,9340,DeAndre Levy
15,MW,LB,8269,Lawrence Timmons
15,MW,BN,9359,Rashad Johnson
15,MW,BN,27533,Khalil Mack
15,MW,BN,9326,Sen'Derrick Marks
