Week,Team,Position,PID,Player
13,JC,QB,4256,Peyton Manning
13,JC,WR,8813,Jordy Nelson
13,JC,WR,9496,Julian Edelman
13,JC,RB,9527,Arian Foster
13,JC,RB,26671,Le'Veon Bell
13,JC,TE,26807,Mychal Rivera
13,JC,W/R/T,27540,Odell Beckham Jr.
13,JC,BN,27624,Jerick McKinnon
13,JC,BN,24400,Chris Ivory
13,JC,BN,25774,Dwayne Allen
13,JC,BN,26652,Cordarrelle Patterson
13,JC,K,9032,Dan Carpenter
13,JC,DB,26694,T.J. McDonald
13,JC,DB,8273,Michael Griffin
13,JC,DB,27542,Kyle Fuller
13,JC,DL,7187,DeMarcus Ware
13,JC,DL,8931,Kroy Biermann
13,JC,LB,26653,Alec Ogletree
13,JC,LB,7783,D'Qwell Jackson
13,JC,LB,9290,Clay Matthews
13,JC,BN,26727,Jelani Jenkins
13,JC,BN,26636,Sheldon Richardson
13,JC,BN,24941,Richard Sherman
13,JC,BN,24803,Ryan Kerrigan
13,JC,IR,24553,Victor Cruz
13,DB,QB,24788,Cam Newton
13,DB,WR,24791,A.J. Green
13,DB,WR,25793,Mohamed Sanu
13,DB,RB,9317,LeSean McCoy
13,DB,RB,26660,Giovani Bernard
13,DB,TE,8838,Martellus Bennett
13,DB,W/R/T,6405,Jason Witten
13,DB,BN,9286,Percy Harvin
13,DB,BN,25773,Rueben Randle
13,DB,BN,25713,Trent Richardson
13,DB,BN,24262,Joique Bell
13,DB,BN,26719,Knile Davis
13,DB,BN,24318,LeGarrette Blount
13,DB,K,25427,Dan Bailey
13,DB,DB,25189,Chris Harris Jr.
13,DB,DB,8797,Aqib Talib
13,DB,DB,26866,Kemal Ishmael
13,DB,DL,23978,Gerald McCoy
13,DB,DL,23990,Jason Pierre-Paul
13,DB,LB,27545,C.J. Mosley
13,DB,LB,25839,Miles Burris
13,DB,LB,25848,Tahir Whitehead
13,DB,BN,24189,Willie Young
13,DB,BN,25735,Dont'a Hightower
13,DB,IR,8475,Trumaine McBride
13,TP,QB,6624,Tony Romo
13,TP,WR,23997,Demaryius Thomas
13,TP,WR,24057,Emmanuel Sanders
13,TP,RB,25883,Alfred Morris
13,TP,RB,24858,DeMarco Murray
13,TP,TE,24017,Rob Gronkowski
13,TP,W/R/T,9348,Mike Wallace
13,TP,BN,8780,Matt Ryan
13,TP,BN,23987,Ryan Mathews
13,TP,BN,27666,Lorenzo Taliaferro
13,TP,BN,25730,Kendall Wright
13,TP,K,27911,Cody Parkey
13,TP,DB,9133,James Ihedigbo
13,TP,DB,25739,Harrison Smith
13,TP,DB,8607,Brent Grimes
13,TP,DL,9691,Cameron Wake
13,TP,DL,24790,Marcell Dareus
13,TP,LB,27040,Paul Worrilow
13,TP,LB,25719,Luke Kuechly
13,TP,LB,25768,Lavonte David
13,TP,BN,7184,Antrel Rolle
13,TP,BN,9299,James Laurinaitis
13,TP,BN,25815,Nigel Bradham
13,TP,BN,24873,Allen Bailey
13,TP,IR,24860,Stevan Ridley
13,SC,QB,25785,Russell Wilson
13,SC,WR,7868,Brandon Marshall
13,SC,WR,8001,Marques Colston
13,SC,RB,8266,Marshawn Lynch
13,SC,RB,26810,Andre Ellington
13,SC,TE,26658,Zach Ertz
13,SC,W/R/T,6390,Anquan Boldin
13,SC,BN,8285,Greg Olsen
13,SC,BN,6770,Ben Roethlisberger
13,SC,BN,24062,Eric Decker
13,SC,BN,24845,Torrey Smith
13,SC,BN,8063,Fred Jackson
13,SC,K,8447,Mason Crosby
13,SC,DB,26680,D.J. Swearinger
13,SC,DB,7182,Adam Jones
13,SC,DB,9298,Patrick Chung
13,SC,DL,24864,Jurrell Casey
13,SC,DL,25782,Olivier Vernon
13,SC,LB,25852,Brandon Marshall
13,SC,LB,8814,Curtis Lofton
13,SC,LB,25697,Jerrell Freeman
