Date,Type,Player/Pick,Source,Destination
2016-08-25,add,Khalil Mack,keeper,BT
2016-08-25,add,Le'Veon Bell,keeper,BT
2016-08-25,add,Tyrann Mathieu,keeper,BT
2016-08-25,add,Amari Cooper,keeper,TJ
2016-08-25,add,Jarvis Landry,keeper,TJ
2016-08-25,add,Allen Robinson,keeper,CR
2016-08-25,add,Ezekiel Ansah,keeper,CR
2016-08-25,add,Thomas Rawls,keeper,CR
2016-08-25,add,Gary Barnidge,keeper,JC
2016-08-25,add,Odell Beckham Jr.,keeper,JC
2016-08-25,add,Sammy Watkins,keeper,JC
2016-08-25,add,Cam Newton,keeper,MM
2016-08-25,add,Corey Graham,keeper,MM
2016-08-25,add,Devonta Freeman,keeper,TP
2016-08-25,add,Larry Fitzgerald,keeper,TP
2016-08-25,add,Brandon Marshall,keeper,DB
2016-08-25,add,C.J. Mosley,keeper,DB
2016-08-25,add,DeAndre Hopkins,keeper,DB
2016-08-25,add,David Johnson,keeper,MP
2016-08-25,add,Mike Evans,keeper,MP
2016-08-25,add,Todd Gurley,keeper,MP
2016-08-25,add,Eric Decker,keeper,SC
2016-08-25,add,Giovani Bernard,keeper,SC
2016-08-25,add,Alec Ogletree,keeper,MW
2016-08-25,add,Jordan Reed,keeper,MW
2016-08-25,add,Jordy Nelson,keeper,MW
2016-08-27,add,Antonio Brown,draftpicks,BT
2016-08-27,add,Julio Jones,draftpicks,MM
2016-08-27,add,Adrian Peterson,draftpicks,TJ
2016-08-27,add,A.J. Green,draftpicks,CR
2016-08-27,add,Dez Bryant,draftpicks,MP
2016-08-27,add,Ezekiel Elliot,draftpicks,TP
2016-08-27,add,Aaron Rodgers,draftpicks,JC
2016-08-27,add,Lamar Miller,draftpicks,DB
2016-08-27,add,Jamaal Charles,draftpicks,MW
2016-08-27,add,LeSean McCoy,draftpicks,SC
2016-08-27,add,Le'Veon Bell,draftpicks,BT
2016-08-27,add,Mark Ingram,draftpicks,MM
2016-08-27,add,Doug Martin,draftpicks,TJ
2016-08-27,add,Rob Kronkowski,draftpicks,CR
2016-08-27,add,Brandin Cooks,draftpicks,MP
2016-08-27,add,Alshon Jeffrey,draftpicks,TP
2016-08-27,add,Eddie Lacy,draftpicks,JC
2016-08-27,add,Greg Olsen,draftpicks,DB
2016-08-27,add,Luke Kuechly,draftpicks,MW
2016-08-27,add,Keenan Allen,draftpicks,SC
2016-08-27,add,Lavonte David,draftpicks,SC
2016-08-27,add,J.J. Watt,draftpicks,MW
2016-08-27,add,Russell Wilson,draftpicks,DB
2016-08-27,add,Matt Forte,draftpicks,JC
2016-08-27,add,T.Y. Hilton,draftpicks,TP
2016-08-27,add,Todd Gurley,draftpicks,MP
2016-08-27,add,C.J. Anderson,draftpicks,CR
2016-08-27,add,Demaryius Thomas,draftpicks,TJ
