Week,Team,Position,PID,Player
10,MM,QB,24788,Cam Newton
10,MM,WR,24171,Antonio Brown
10,MM,WR,8256,Calvin Johnson
10,MM,RB,25741,Doug Martin
10,MM,RB,8790,Jonathan Stewart
10,MM,TE,26686,Travis Kelce
10,MM,W/R/T,9010,Justin Forsett
10,MM,BN,7206,Heath Miller
10,MM,BN,28461,Tevin Coleman
10,MM,BN,7149,Malcom Floyd
10,MM,BN,27619,John Brown
10,MM,BN,27531,Blake Bortles
10,MM,K,26789,Caleb Sturgis
10,MM,DB,27549,Ha Ha Clinton-Dix
10,MM,DB,24046,Morgan Burnett
10,MM,DB,8422,Corey Graham
10,MM,DL,24151,Greg Hardy
10,MM,DL,8827,Calais Campbell
10,MM,LB,24015,Koa Misi
10,MM,LB,28433,Eric Kendricks
10,MM,LB,9279,Brian Cushing
10,MM,BN,24030,Sean Lee
10,MM,BN,27040,Paul Worrilow
10,MM,BN,24790,Marcell Dareus
10,MM,IR,8337,Charles Johnson
10,DB,QB,25785,Russell Wilson
10,DB,WR,7868,Brandon Marshall
10,DB,WR,26650,DeAndre Hopkins
10,DB,RB,25807,Lamar Miller
10,DB,RB,28494,Jeremy Langford
10,DB,TE,8838,Martellus Bennett
10,DB,W/R/T,27874,Allen Hurns
10,DB,BN,7760,Jay Cutler
10,DB,BN,8821,Matt Forte
10,DB,BN,8801,Chris Johnson
10,DB,BN,24035,Golden Tate
10,DB,BN,24070,Jimmy Graham
10,DB,K,7520,Robbie Gould
10,DB,DB,26638,Kenny Vaccaro
10,DB,DB,25853,Josh Norman
10,DB,DB,26706,Logan Ryan
10,DB,DL,23977,Ndamukong Suh
10,DB,DL,24801,Robert Quinn
10,DB,LB,24336,Vincent Rey
10,DB,LB,27601,Preston Brown
10,DB,LB,27545,C.J. Mosley
10,DB,BN,26667,Kawann Short
10,DB,BN,23983,Rolando McClain
10,DB,BN,28406,Marcus Peters
10,DB,IR,9527,Arian Foster
10,MP,QB,6337,Carson Palmer
10,MP,WR,27535,Mike Evans
10,MP,WR,24791,A.J. Green
10,MP,RB,28398,Todd Gurley
10,MP,RB,27583,Jeremy Hill
10,MP,TE,27626,Richard Rodgers
10,MP,W/R/T,28534,Stefon Diggs
10,MP,BN,27570,Jordan Matthews
10,MP,BN,6663,Antonio Gates
10,MP,BN,9560,Danny Woodhead
10,MP,BN,26878,C.J. Anderson
10,MP,BN,28543,Karlos Williams
10,MP,BN,27581,Davante Adams
10,MP,K,25885,Blair Walsh
10,MP,DB,25739,Harrison Smith
10,MP,DB,7182,Adam Jones
10,MP,DB,24109,Kam Chancellor
10,MP,DL,26636,Sheldon Richardson
10,MP,DL,24798,J.J. Watt
10,MP,LB,27672,Telvin Smith
10,MP,LB,25756,Mychal Kendricks
10,MP,LB,25898,Danny Trevathan
10,MP,BN,24075,Everson Griffen
10,MP,BN,24066,NaVorro Bowman
10,MP,IR,27556,Kelvin Benjamin
10,TP,QB,5228,Tom Brady
10,TP,WR,23997,Demaryius Thomas
10,TP,WR,6762,Larry Fitzgerald
10,TP,RB,27946,Antonio Andrews
10,TP,RB,28714,Thomas Rawls
10,TP,TE,8285,Greg Olsen
10,TP,W/R/T,25755,Alshon Jeffery
10,TP,BN,28442,Ameer Abdullah
10,TP,BN,24057,Emmanuel Sanders
10,TP,BN,27631,Devonta Freeman
10,TP,BN,7241,Frank Gore
10,TP,BN,24053,Brandon LaFell
10,TP,K,6558,Josh Brown
10,TP,DB,28421,Landon Collins
10,TP,DB,24002,Devin McCourty
10,TP,DB,9133,James Ihedigbo
10,TP,DL,24811,Cameron Jordan
10,TP,DL,24095,Geno Atkins
10,TP,LB,7190,Thomas Davis
10,TP,LB,9299,James Laurinaitis
10,TP,LB,24886,K.J. Wright
10,TP,BN,26727,Jelani Jenkins
10,TP,BN,26694,T.J. McDonald
10,TP,BN,24006,Jerry Hughes
10,TP,IR,6624,Tony Romo
10,SC,QB,8795,Joe Flacco
10,SC,WR,24062,Eric Decker
10,SC,WR,8826,DeSean Jackson
10,SC,RB,8261,Adrian Peterson
10,SC,RB,26660,Giovani Bernard
10,SC,TE,7924,Delanie Walker
10,SC,W/R/T,9317,LeSean McCoy
10,SC,BN,8780,Matt Ryan
10,SC,BN,25730,Kendall Wright
10,SC,BN,6405,Jason Witten
10,SC,BN,9514,Rashad Jennings
10,SC,BN,24793,Julio Jones
10,SC,K,8447,Mason Crosby
10,SC,DB,24139,Reshad Jones
10,SC,DB,26656,Johnathan Cyprien
10,SC,DB,9359,Rashad Johnson
10,SC,DL,24864,Jurrell Casey
10,SC,DL,25722,Fletcher Cox
10,SC,LB,25719,Luke Kuechly
10,SC,LB,25768,Lavonte David
10,SC,LB,25852,Brandon Marshall
10,SC,BN,27559,Bradley Roby
10,SC,BN,28051,Kerry Wynn
10,SC,BN,7865,Stephen Tulloch
10,TJ,QB,25812,Kirk Cousins
10,TJ,WR,27591,Jarvis Landry
10,TJ,WR,28392,Amari Cooper
10,TJ,RB,7776,DeAngelo Williams
10,TJ,RB,24169,James Starks
10,TJ,TE,6791,Benjamin Watson
10,TJ,W/R/T,24851,Randall Cobb
10,TJ,BN,26684,Eddie Lacy
10,TJ,BN,6763,Philip Rivers
10,TJ,BN,27597,Charles Sims
10,TJ,BN,25723,Michael Floyd
10,TJ,BN,26822,Theo Riddick
10,TJ,K,28378,Jason Myers
10,TJ,DB,8273,Michael Griffin
10,TJ,DB,8380,Dashon Goldson
10,TJ,DB,25090,Ron Parker
10,TJ,DL,24029,Carlos Dunlap
10,TJ,DL,25731,Chandler Jones
