Date, Type, Player, Team ID, Source
2014-08-24, Add, Curtis Lofton, SC, Draft Pick
2014-08-24, Add, Reggie Wayne, MP, Draft Pick
2014-08-24, Add, Kenny Vaccaro, DB, Draft Pick
2014-08-24, Add, Paul Worrilow, TP, Draft Pick
2014-08-24, Add, Ray Rice, MM, Draft Pick
2014-08-24, Add, D'Qwell Jackson, JC, Draft Pick
2014-08-24, Add, Lamar Miller, CR, Draft Pick
2014-08-24, Add, Eric Berry, TJ, Draft Pick
2014-08-24, Add, Brian Cushing, BT, Draft Pick
2014-08-24, Add, Mark Barron, BT, Draft Pick
2014-08-24, Add, Mychal Kendricks, TJ, Draft Pick
2014-08-24, Add, Von Miller, CR, Draft Pick
2014-08-24, Add, Bernard Pollard, JC, Draft Pick
2014-08-24, Add, Wesley Woodyard, MM, Draft Pick
2014-08-24, Add, Antrel Rolle, TP, Draft Pick
2014-08-24, Add, Percy Harvin, DB, Draft Pick
2014-08-24, Add, Jay Cutler, MP, Draft Pick
2014-08-24, Add, Olivier Vernon, SC, Draft Pick
2014-08-24, Add, Khalil Mack, MW, Draft Pick
2014-08-24, Add, Justin Houston, MW, Draft Pick
2014-08-24, Add, Perry Riley, SC, Draft Pick
2014-08-24, Add, Earl Thomas, MP, Draft Pick
2014-08-24, Add, C.J. Mosley, DB, Draft Pick
2014-08-24, Add, Bishop Sankey, TP, Draft Pick
2014-08-24, Add, Stevie Brown, MM, Draft Pick
2014-08-24, Add, Jadeveon Clowney, JC, Draft Pick
2014-08-24, Add, Kam Chancellor, CR, Draft Pick
2014-08-24, Add, Carlos Dunlap, TJ, Draft Pick
2014-08-24, Add, Jared Allen, BT, Draft Pick
2014-08-24, Add, Nick Foles, BT, Draft Pick
2014-08-24, Add, Zach Ertz, TJ, Draft Pick
2014-08-24, Add, Lamarr Houston, CR, Draft Pick
2014-08-24, Add, Chris Long, JC, Draft Pick
2014-08-24, Add, Charles Tillman, MM, Draft Pick
2014-08-24, Add, James Ihedigbo, TP, Draft Pick
2014-08-24, Add, Roman Harper, DB, Draft Pick
2014-08-24, Add, Ziggy Ansah, MP, Draft Pick
2014-08-24, Add, Matt Elam, SC, Draft Pick
2014-08-24, Add, Tyrann Mathieu, MW, Draft Pick
2014-08-24, Add, NaVorro Bowman, MW, Draft Pick
2014-08-24, Add, Marques Colston, SC, Draft Pick
2014-08-24, Add, Colin Kaepernick, MP, Draft Pick
2014-08-24, Add, Trent Richardson, DB, Draft Pick
2014-08-24, Add, Tony Romo, TP, Draft Pick
2014-08-24, Add, Andy Dalton, MM, Draft Pick
2014-08-24, Add, DeAngelo Hall, JC, Draft Pick
2014-08-24, Add, Prince Amukamara, CR, Draft Pick
2014-08-24, Add, Philip Rivers, TJ, Draft Pick
2014-08-24, Add, DeMeco Ryans, BT, Draft Pick
2014-08-24, Add, Michael Johnson, BT, Draft Pick
2014-08-24, Add, Danny Woodhead, TJ, Draft Pick
2014-08-24, Add, Jamie Collins, CR, Draft Pick
2014-08-24, Add, Cordarrelle Patterson, JC, Draft Pick
2014-08-24, Add, Maurice Jones-Drew, MM, Draft Pick
2014-08-24, Add, Stevan Ridley, TP, Draft Pick
2014-08-24, Add, Robert Griffin III, DB, Draft Pick
2014-08-24, Add, Kendal Wright, MP, Draft Pick
2014-08-24, Add, Torrey Smith, SC, Draft Pick
2014-08-24, Add, Josh McCown, MW, Draft Pick
2014-08-24, Add, Donte Whitner, MW, Draft Pick
2014-08-24, Add, Ben Roethlisberger, SC, Draft Pick
2014-08-24, Add, Robert Mathis, MP, Draft Pick
2014-08-24, Add, Ryan Shazier, DB, Draft Pick
2014-08-24, Add, Mike Wallace, TP, Draft Pick
2014-08-24, Add, Stephen Gostkowski, MM, Draft Pick
2014-08-24, Add, Darren McFadden, JC, Draft Pick
2014-08-24, Add, Terrance Williams, CR, Draft Pick
2014-08-24, Add, Malcolm Jenkins, TJ, Draft Pick
2014-08-24, Add, Golden Tate, BT, Draft Pick
2014-08-24, Add, Antoine Bethea, BT, Draft Pick
2014-08-24, Add, Jarrett Boykin, TJ, Draft Pick
2014-08-24, Add, Johnny Manziel, CR, Draft Pick
2014-08-24, Add, Dwayne Bowe, JC, Draft Pick
2014-08-24, Add, Danny Trevathan, MM, Draft Pick
2014-08-24, Add, Kyle Rudolph, TP, Draft Pick
2014-08-24, Add, Matt Prater, DB, Draft Pick
2014-08-24, Add, Carlos Hyde, MP, Draft Pick
2014-08-24, Add, Fred Jackson, SC, Draft Pick
2014-08-24, Add, Jeremy Maclin, MW, Draft Pick
2014-08-24, Add, Heath Miller, MW, Draft Pick
2014-08-24, Add, Reshad Jones, SC, Draft Pick
2014-08-24, Add, Patrick Peterson, MP, Draft Pick
2014-08-24, Add, Rueben Randle, DB, Draft Pick
2014-08-24, Add, Justin Tuck, TP, Draft Pick
2014-08-24, Add, Charles Clay, MM, Draft Pick
2014-08-24, Add, Tavon Austin, JC, Draft Pick
2014-08-24, Add, Ladarius Green, CR, Draft Pick
2014-08-24, Add, Zach Brown, TJ, Draft Pick
2014-08-24, Add, Marcell Dareus, BT, Draft Pick
2014-08-24, Add, Justin Tucker, BT, Draft Pick
2014-08-24, Add, Ndamukong Suh, TJ, Draft Pick
2014-08-24, Add, Robbie Gould, CR, Draft Pick
2014-08-24, Add, Bernard Pierce, JC, Draft Pick
2014-08-24, Add, Mike Evans, MM, Draft Pick
2014-08-24, Add, LaRon Landry, TP, Draft Pick
2014-08-24, Add, Charles Johnson, DB, Draft Pick
2014-08-24, Add, Donald Butler, MP, Draft Pick
2014-08-24, Add, Stephen Tulloch, SC, Draft Pick
2014-08-24, Add, Justin Smith, MW, Draft Pick
2014-08-24, Add, Jairus Byrd, MW, Draft Pick
2014-08-24, Add, Jurrell Casey, SC, Draft Pick
2014-08-24, Add, Dwayne Allen, MP, Draft Pick
2014-08-24, Add, Mark Ingram, DB, Draft Pick
2014-08-24, Add, Nick Roach, TP, Draft Pick
2014-08-24, Add, Thomas Davis, MM, Draft Pick
2014-08-24, Add, Clay Matthews, JC, Draft Pick
2014-08-24, Add, Mason Foster, CR, Draft Pick
2014-08-24, Add, Alterraun Verner, TJ, Draft Pick
2014-08-24, Add, Calvin Pryor, BT, Draft Pick
2014-08-24, Add, Antonio Gates, BT, Draft Pick
2014-08-24, Add, Kevin Minter, TJ, Draft Pick
2014-08-24, Add, Anquan Boldin, CR, Draft Pick
2014-08-24, Add, Alex Smith, JC, Draft Pick
2014-08-24, Add, Jeremy Hill, MM, Draft Pick
2014-08-24, Add, Cecil Shorts III, TP, Draft Pick
2014-08-24, Add, DeAndre Hopkins, DB, Draft Pick
2014-08-24, Add, Steven Hauschka, MP, Draft Pick
2014-08-24, Add, Riley Cooper, SC, Draft Pick
2014-08-24, Add, Phil Dawson, MW, Draft Pick
2014-08-24, Add, Hakeem Nicks, MW, Draft Pick
2014-08-24, Add, Mason Crosby, SC, Draft Pick
2014-08-24, Add, Terrance West, MP, Draft Pick
2014-08-24, Add, Lance Briggs, DB, Draft Pick
2014-08-24, Add, Matt Bryant, TP, Draft Pick
2014-08-24, Add, Marvin Jones, MM, Draft Pick
2014-08-24, Add, Blair Walsh, JC, Draft Pick
2014-08-24, Add, Ryan Clark, CR, Draft Pick
2014-08-24, Add, Adam Vinatieri, TJ, Draft Pick
2014-08-24, Add, Joe Haden, BT, Draft Pick
2014-08-24, Drop, Zac Stacy, JC
2014-08-24, Drop, Arian Foster, MP
2014-08-24, Add, Arian Foster, JC, Draft Day Trade
2014-08-24, Add, Zac Stacy, MP, Draft Day Trade
2014-08-24, Drop, Tavon Austin, JC
2014-08-27, Drop, Justin Smith, MW
2014-08-27, Add, Sheldon Richardson, MW, Waiver Wire
2014-08-27, Drop, DeAndre Hopkins, DB
2014-08-27, Add, Dan Bailey, DB, Waiver Wire
2014-08-27, Drop, Navorro Bowman, MW
2014-08-27, Add, DeAndre Levy, MW, Waiver Wire
2014-08-27, Drop, Charles Johnson, DB
2014-08-27, Add, Gerald McCoy, DB, Waiver Wire
2014-08-27, Drop, Hakeem Nicks, MW
2014-08-27, Add, Kelvin Benjamin, MW, Waiver Wire
2014-08-27, Add, Tim Wright, JC, Free Agent
2014-08-27, Drop, Heath Miller, MW
2014-08-27, Add, Josh Gordon, MW, Free Agent
2014-08-27, Drop, Robert Mathis, MP
2014-08-27, Add, Geno Atkins, MP, Free Agent
2014-08-27, Drop, Dwayne Allen, MP
2014-08-27, Add, Tamba Hall, MP, Free Agent
2014-08-27, Drop, Josh Gordon, MW
2014-08-27, Add, Charles Woodson, MW, Free Agent
2014-08-27, Drop, Matt Prater, DB
2014-08-27, Add, Brandin Cooks, DB, Free Agent
