Week,Team,Position,PID,Player
5,MM,QB,28390,Marcus Mariota
5,MM,WR,24171,Antonio Brown
5,MM,WR,8256,Calvin Johnson
5,MM,RB,9010,Justin Forsett
5,MM,RB,25741,Doug Martin
5,MM,TE,26686,Travis Kelce
5,MM,W/R/T,27619,John Brown
5,MM,BN,8790,Jonathan Stewart
5,MM,BN,24788,Cam Newton
5,MM,BN,28461,Tevin Coleman
5,MM,BN,8982,Pierre Garcon
5,MM,K,25427,Dan Bailey
5,MM,DB,27549,Ha Ha Clinton-Dix
5,MM,DB,8422,Corey Graham
5,MM,DB,9319,William Moore
5,MM,DL,8827,Calais Campbell
5,MM,DL,24151,Greg Hardy
5,MM,LB,24030,Sean Lee
5,MM,LB,25829,Keenan Robinson
5,MM,LB,27040,Paul Worrilow
5,MM,BN,28394,Leonard Williams
5,MM,BN,25787,Demario Davis
5,MM,BN,28433,Eric Kendricks
5,MM,BN,6870,Will Allen
5,MM,IR,8337,Charles Johnson
5,DB,QB,25785,Russell Wilson
5,DB,WR,26650,DeAndre Hopkins
5,DB,WR,27874,Allen Hurns
5,DB,RB,8821,Matt Forte
5,DB,RB,8801,Chris Johnson
5,DB,TE,8838,Martellus Bennett
5,DB,W/R/T,26810,Andre Ellington
5,DB,BN,24035,Golden Tate
5,DB,BN,7868,Brandon Marshall
5,DB,BN,25807,Lamar Miller
5,DB,BN,24916,Julius Thomas
5,DB,K,7520,Robbie Gould
5,DB,DB,28406,Marcus Peters
5,DB,DB,26638,Kenny Vaccaro
5,DB,DB,24880,Chris Conte
5,DB,DL,24801,Robert Quinn
5,DB,DL,25824,Jaye Howard
5,DB,LB,27545,C.J. Mosley
5,DB,LB,27601,Preston Brown
5,DB,LB,24336,Vincent Rey
5,DB,BN,7884,Rob Ninkovich
5,DB,BN,23977,Ndamukong Suh
5,DB,BN,25853,Josh Norman
5,DB,BN,9467,Jason McCourty
5,MP,QB,6337,Carson Palmer
5,MP,WR,24791,A.J. Green
5,MP,WR,27570,Jordan Matthews
5,MP,RB,8850,Jamaal Charles
5,MP,RB,28398,Todd Gurley
5,MP,TE,6663,Antonio Gates
5,MP,W/R/T,9560,Danny Woodhead
5,MP,BN,27583,Jeremy Hill
5,MP,BN,6760,Eli Manning
5,MP,BN,27532,Sammy Watkins
5,MP,BN,28714,Thomas Rawls
5,MP,BN,27581,Davante Adams
5,MP,K,28103,Chandler Catanzaro
5,MP,DB,24109,Kam Chancellor
5,MP,DB,7182,Adam Jones
5,MP,DB,25749,Janoris Jenkins
5,MP,DL,24798,J.J. Watt
5,MP,DL,24818,Cameron Heyward
5,MP,LB,25815,Nigel Bradham
5,MP,LB,27672,Telvin Smith
5,MP,LB,23991,Derrick Morgan
5,MP,BN,25739,Harrison Smith
5,MP,BN,24075,Everson Griffen
5,MP,BN,26636,Sheldon Richardson
5,TP,QB,5228,Tom Brady
5,TP,WR,23997,Demaryius Thomas
5,TP,WR,24057,Emmanuel Sanders
5,TP,RB,7241,Frank Gore
5,TP,RB,27631,Devonta Freeman
5,TP,TE,27626,Richard Rodgers
5,TP,W/R/T,6762,Larry Fitzgerald
