Date,Type,Player/Pick,Source,Destination
2018-08-12,add,Sean Davis,draftpicks,SC
2018-08-12,add,Ha Ha Clinton-Dix,draftpicks,JC
2018-08-12,add,Tyrann Mathieu,draftpicks,TP
2018-08-12,add,Roquan Smith,draftpicks,MW
2018-08-12,add,Adrian Amos,draftpicks,JR
2018-08-12,add,Eric Berry,draftpicks,DB
2018-08-12,add,Anthony Hitchens,draftpicks,MM
2018-08-12,add,Cameron Heyward,draftpicks,JR
2018-08-12,add,Corey Davis,draftpicks,MW
2018-08-12,add,Carson Wentz,draftpicks,MM
2018-08-12,add,Sammy Watkins,draftpicks,DB
2018-08-12,add,Kiko Alonso,draftpicks,JR
2018-08-12,add,Marlon Mack,draftpicks,MW
2018-08-12,add,Von Miller,draftpicks,TP
2018-08-12,add,Sony Michel,draftpicks,JC
2018-08-12,add,Cooper Kupp,draftpicks,SC
2018-08-12,add,Josh Gordon,draftpicks,MP
2018-08-12,add,Jaquiski Tartt,draftpicks,TJ
2018-08-12,add,Josh Jones,draftpicks,TJ
2018-08-12,add,Tevin Coleman,draftpicks,MP
2018-08-12,add,Tarik Cohen,draftpicks,SC
2018-08-12,add,James Bradberry,draftpicks,JC
2018-08-12,add,Mark Ingram II,draftpicks,TP
2018-08-12,add,Marshon Lattimore,draftpicks,MW
2018-08-12,add,C.J. Anderson,draftpicks,JR
2018-08-12,add,Eric Weddle,draftpicks,DB
2018-08-12,add,Kyle Fuller,draftpicks,MM
2018-08-12,add,Robert Woods,draftpicks,BT
2018-08-12,add,Kurt Coleman,draftpicks,BT
2018-08-12,add,Marshawn Lynch,draftpicks,MM
2018-08-12,add,Reuben Foster,draftpicks,DB
2018-08-12,add,Olivier Vernon,draftpicks,JR
2018-08-12,add,NaVorro Bowman,draftpicks,MW
2018-08-12,add,Lamarcus Joyner,draftpicks,TP
2018-08-12,add,Will Fuller V,draftpicks,JC
2018-08-12,add,Trey Burton,draftpicks,SC
2018-08-12,add,Myles Jack,draftpicks,MP
2018-08-12,add,Isaiah Crowell,draftpicks,TJ
2018-08-12,add,Michael Crabtree,draftpicks,TJ
2018-08-12,add,David Njoku,draftpicks,MP
2018-08-12,add,Emmanuel Sanders,draftpicks,SC
2018-08-12,add,Mike Williams,draftpicks,JC
2018-08-12,add,Chris Thompson,draftpicks,TP
2018-08-12,add,Jimmy Graham,draftpicks,MW
2018-08-12,add,Randall Cobb,draftpicks,JR
2018-08-12,add,Kirk Cousins,draftpicks,DB
2018-08-12,add,Marquise Goodwin,draftpicks,MM
2018-08-12,add,Julian Edelman,draftpicks,BT
2018-08-12,add,Duke Johnson Jr.,draftpicks,BT
2018-08-12,add,Jamison Crowder,draftpicks,MM
2018-08-12,add,Markus Golden,draftpicks,DB
2018-08-12,add,Muhammad Wilkerson,draftpicks,JR
2018-08-12,add,DeForest Buckner,draftpicks,MW
2018-08-12,add,Robby Anderson,draftpicks,TP
2018-08-12,add,Andrew Luck,draftpicks,JC
2018-08-12,add,Carlos Hyde,draftpicks,SC
2018-08-12,add,Jimmy Garoppolo,draftpicks,MP
2018-08-12,add,Tremaine Edmunds,draftpicks,TJ
2018-08-12,add,Matthew Stafford,draftpicks,TJ
2018-08-12,add,Jordy Nelson,draftpicks,MP
2018-08-12,add,Justin Evans,draftpicks,SC
2018-08-12,add,Joe Schobert,draftpicks,JC
2018-08-12,add,Jamaal Williams,draftpicks,TP
2018-08-12,add,Leonard Williams,draftpicks,MW
2018-08-12,add,Aaron Jones,draftpicks,JR
2018-08-12,add,Kelvin Benjamin,draftpicks,DB
2018-08-12,add,Brandon Marshall,draftpicks,MM
2018-08-12,add,Vontaze Burfict,draftpicks,BT
2018-08-12,add,Rishard Matthews,draftpicks,BT
2018-08-12,add,Chris Carson,draftpicks,MM
2018-08-12,add,Allen Hurns,draftpicks,DB
2018-08-12,add,Andrew Sendejo,draftpicks,JR
2018-08-12,add,Ronald Darby,draftpicks,MW
2018-08-12,add,Kenny Stills,draftpicks,TP
2018-08-12,add,Sterling Shepard,draftpicks,JC
2018-08-12,add,Jamie Collins Sr.,draftpicks,SC
2018-08-12,add,Jordan Reed,draftpicks,MP
2018-08-12,add,Bradley McDougald,draftpicks,TJ
2018-08-12,add,Nelson Agholor,draftpicks,TJ
2018-08-12,add,Alex Smith,draftpicks,MP
2018-08-12,add,Philip Rivers,draftpicks,SC
2018-08-12,add,George Kittle,draftpicks,JC
2018-08-12,add,DeVante Parker,draftpicks,TP
2018-08-12,add,Preston Brown,draftpicks,MW
2018-08-12,add,Stephen Gostkowski,draftpicks,JR
2018-08-12,add,Avery Williamson,draftpicks,DB
2018-08-12,add,Akiem Hicks,draftpicks,MM
2018-08-12,add,Matt Ryan,draftpicks,BT
2018-08-12,add,Devin McCourty,draftpicks,BT
2018-08-12,add,Daniel Sorensen,draftpicks,MM
2018-08-12,add,Darius Slay,draftpicks,DB
2018-08-12,add,D'Onta Foreman,draftpicks,JR
2018-08-12,add,Jack Doyle,draftpicks,MW
2018-08-12,add,John Johnson III,draftpicks,TP
2018-08-12,add,Jordan Hicks,draftpicks,JC
2018-08-12,add,Giovani Bernard,draftpicks,SC
2018-08-12,add,Justin Simmons,draftpicks,MP
2018-08-12,add,O.J. Howard,draftpicks,TJ
2018-08-12,add,Yannick Ngakoue,draftpicks,TJ
2018-08-12,add,Dez Bryant,draftpicks,MP
2018-08-12,add,Corey Clement,draftpicks,SC
2018-08-12,add,Marcus Mariota,draftpicks,JC
2018-08-12,add,Tyler Lockett,draftpicks,TP
2018-08-12,add,T.J. Ward,draftpicks,MW
2018-08-12,add,Marqise Lee,draftpicks,JR
2018-08-12,add,Eric Ebron,draftpicks,DB
2018-08-12,add,Devontae Booker,draftpicks,MM
2018-08-12,add,Justin Tucker,draftpicks,BT
2018-08-12,add,Patrick Mahomes,draftpicks,BT
2018-08-12,add,Greg Zuerlein,draftpicks,MM
2018-08-12,add,Matt Bryant,draftpicks,DB
2018-08-12,add,Tahir Whitehead,draftpicks,JR
2018-08-12,add,Chris Boswell,draftpicks,MW
2018-08-12,add,Wil Lutz,draftpicks,TP
2018-08-12,add,Matt Prater,draftpicks,JC
2018-08-12,add,Jake Elliott,draftpicks,SC
2018-08-12,add,Harrison Butker,draftpicks,MP
2018-08-12,add,Graham Gano,draftpicks,TJ
