Date,Type,Player/Pick,Source,Destination
2018-08-09,add,Tyreek Hill,keeper,TJ
2018-08-09,add,Alvin Kamara,keeper,TJ
2018-08-09,add,David Johnson,keeper,MP
2018-08-09,add,Jerick McKinnon,keeper,MP
2018-08-09,add,DeMarcus Lawrence,keeper,MP
2018-08-09,add,Deone Bucannon,keeper,SC
2018-08-09,add,Kevin Byard,keeper,SC
2018-08-09,add,Odell Beckham Jr.,keeper,JC
2018-08-09,add,Adam Thielen,keeper,JC
2018-08-09,add,Kareem Hunt,keeper,JC
2018-08-09,add,Cam Newton,keeper,TP
2018-08-09,add,Devonta Freeman,keeper,TP
2018-08-09,add,Devin Funchess,keeper,TP
2018-08-09,add,Jordan Howard,keeper,MW
2018-08-09,add,Michael Thomas,keeper,MW
2018-08-09,add,Deshaun Watson,keeper,MW
2018-08-09,add,Doug Baldwin,keeper,JR
2018-08-09,add,Delanie Walker,keeper,JR
2018-08-09,add,Blake Martinez,keeper,JR
2018-08-09,add,Melvin Gordon,keeper,DB
2018-08-09,add,DeAndre Hopkins,keeper,DB
2018-08-09,add,C.J. Mosley,keeper,DB
2018-08-09,add,Alex Collins,keeper,MM
2018-08-09,add,Stefon Diggs,keeper,MM
2018-08-09,add,Kenyan Drake,keeper,MM
2018-08-09,add,JuJu Smith-Schuster,keeper,BT
2018-08-09,add,Myles Garrett,keeper,BT
2018-08-09,add,Demario Davis,keeper,BT
2018-08-12,add,Todd Gurley II,draftpicks,BT
2018-08-12,add,Le'Veon Bell,draftpicks,MM
2018-08-12,add,Ezekiel Elliott,draftpicks,DB
2018-08-12,add,Saquon Barkley,draftpicks,JR
2018-08-12,add,Antonio Brown,draftpicks,MW
2018-08-12,add,Julio Jones,draftpicks,TP
2018-08-12,add,Dalvin Cook,draftpicks,JC
2018-08-12,add,Leonard Fournette,draftpicks,SC
2018-08-12,add,Keenan Allen,draftpicks,MP
2018-08-12,add,Christian McCaffrey,draftpicks,TJ
2018-08-12,add,Davante Adams,draftpicks,BT
2018-08-12,add,A.J. Green,draftpicks,MM
2018-08-12,add,Mike Evans,draftpicks,DB
2018-08-12,add,T.Y. Hilton,draftpicks,JR
2018-08-12,add,LeSean McCoy,draftpicks,MW
2018-08-12,add,Rob Gronkowksi,draftpicks,TP
2018-08-12,add,Joe Mixon,draftpicks,JC
2018-08-12,add,Royce Freeman,draftpicks,SC
2018-08-12,add,Luke Kuechly,draftpicks,MP
2018-08-12,add,Demaryius Thomas,draftpicks,TJ
2018-08-12,add,Jay Ajayi,draftpicks,TJ
2018-08-12,add,Khalil Mack,draftpicks,MP
2018-08-12,add,Larry Fitzgerald,draftpicks,SC
2018-08-12,add,Bobby Wagner,draftpicks,JC
2018-08-12,add,Dion Lewis,draftpicks,TP
2018-08-12,add,Travis Kelce,draftpicks,MW
2018-08-12,add,Lamar Miller,draftpicks,JR
2018-08-12,add,DeAndre Hopkins,draftpicks,DB
2018-08-12,add,Zach Ertz,draftpicks,MM
2018-08-12,add,Telvin Smith,draftpicks,BT
2018-08-12,add,Joey Bosa,draftpicks,BT
2018-08-12,add,Kwon Alexander,draftpicks,MM
2018-08-12,add,C.J. Mosley,draftpicks,DB
2018-08-12,add,Doug Baldwin,draftpicks,JR
2018-08-12,add,Derrick Henry,draftpicks,MW
2018-08-12,add,Deion Jones,draftpicks,TP
2018-08-12,add,Odell Beckham Jr.,draftpicks,JC
2018-08-12,add,Zach Brown,draftpicks,SC
2018-08-12,add,Landon Collins,draftpicks,MP
2018-08-12,add,Jarvis Landry,draftpicks,TJ
2018-08-12,add,Christian Kirksey,draftpicks,TJ
2018-08-12,add,Allen Robinson,draftpicks,MP
2018-08-12,add,Reshad Jones,draftpicks,SC
2018-08-12,add,Aaron Rodgers,draftpicks,MW
2018-08-12,add,Sean Lee,draftpicks,TP
2018-08-12,add,Amari Cooper,draftpicks,MW
2018-08-12,add,Keanu Neal,draftpicks,JR
2018-08-12,add,Rashaad Penny,draftpicks,BT
2018-08-12,add,J.J. Watt,draftpicks,MM
2018-08-12,add,Harrison Smith,draftpicks,BT
2018-08-12,add,Ronald Jones,draftpicks,BT
2018-08-12,add,Calais Campbell,draftpicks,MM
2018-08-12,add,Russell Wilson,draftpicks,DB
2018-08-12,add,Alec Ogletree,draftpicks,JR
2018-08-12,add,Jordan Howard,draftpicks,MW
2018-08-12,add,Devonta Freeman,draftpicks,TP
2018-08-12,add,Alshon Jeffrey,draftpicks,BT
2018-08-12,add,Mark Barron,draftpicks,SC
2018-08-12,add,David Johnson,draftpicks,MP
2018-08-12,add,Tyreek Hill,draftpicks,TJ
2018-08-12,add,Cameron Jordan,draftpicks,TJ
2018-08-12,add,Lavonte David,draftpicks,MP
2018-08-12,add,Budda Baker,draftpicks,SC
2018-08-12,add,Melvin Ingram,draftpicks,JC
2018-08-12,add,Golden Tate,draftpicks,TP
2018-08-12,add,Karl Joseph,draftpicks,BT
2018-08-12,add,Jordan Poyer,draftpicks,JR
2018-08-12,add,Kyle Rudolph,draftpicks,DB
2018-08-12,add,Eric Kendricks,draftpicks,MM
2018-08-12,add,Evan Engram,draftpicks,BT
2018-08-12,add,Myles Garrett,draftpicks,BT
2018-08-12,add,Alex Collins,draftpicks,MM
2018-08-12,add,Melvin Gordon,draftpicks,DB
2018-08-12,add,Demario Davis,draftpicks,BT
2018-08-12,add,Michael Thomas,draftpicks,MW
2018-08-12,add,Jason Pierre-Paul,draftpicks,TP
2018-08-12,add,Danielle Hunter,draftpicks,JC
2018-08-12,add,Aaron Donald,draftpicks,SC
2018-08-12,add,Chris Hogan,draftpicks,MP
2018-08-12,add,Jamal Adams,draftpicks,TJ
2018-08-12,add,Rex Burkhead,draftpicks,TJ
2018-08-12,add,DeMarcus Lawrence,draftpicks,MP
2018-08-12,add,Deone Bucannon,draftpicks,SC
2018-08-12,add,Adam Thielen,draftpicks,JC
2018-08-12,add,Devin Funchess,draftpicks,TP
2018-08-12,add,Benardrick McKinney,draftpicks,MW
2018-08-12,add,Blake Martinez,draftpicks,JR
2018-08-12,add,Brandin Cooks,draftpicks,DB
2018-08-12,add,Kenyan Drake,draftpicks,MM
2018-08-12,add,Danny Trevathan,draftpicks,DB
2018-08-12,add,JuJu Smith-Schuster,draftpicks,BT
2018-08-12,add,Stefon Diggs,draftpicks,MM
2018-08-12,add,Carlos Dunlap,draftpicks,DB
2018-08-12,add,Delanie Walker,draftpicks,JR
2018-08-12,add,Deshaun Watson,draftpicks,MW
2018-08-12,add,Cam Newton,draftpicks,TP
2018-08-12,add,Kareem Hunt,draftpicks,JC
2018-08-12,add,Kevin Byard,draftpicks,SC
2018-08-12,add,Jerick McKinnon,draftpicks,MP
2018-08-12,add,Alvin Kamara,draftpicks,TJ
2018-08-12,add,Jarrad Davis,draftpicks,TJ
2018-08-12,add,Kerryon Johnson,draftpicks,MP
2018-08-12,add,Pierre Garcon,draftpicks,SC
2018-08-12,add,K.J. Wright,draftpicks,JC
2018-08-12,add,Everson Griffen,draftpicks,TP
2018-08-12,add,Greg Olsen,draftpicks,JC
2018-08-12,add,Ezekiel Ansah,draftpicks,JR
2018-08-12,add,Brandon Graham,draftpicks,DB
2018-08-12,add,Barry Church,draftpicks,MM
2018-08-12,add,Vince Williams,draftpicks,BT
2018-08-12,add,Jatavis Brown,draftpicks,JC
2018-08-12,add,Tony Jefferson,draftpicks,MM
2018-08-12,add,Morgan Burnett,draftpicks,DB
2018-08-12,add,Drew Brees,draftpicks,JR
2018-08-12,add,Tom Brady,draftpicks,MW
2018-08-12,add,Marvin Jones Jr.,draftpicks,TP
2018-08-12,add,Micah Hyde,draftpicks,JC
2018-08-12,add,Jadeveon Clowney,draftpicks,SC
2018-08-12,add,Trey Flowers,draftpicks,MP
2018-08-12,add,Chandler Jones,draftpicks,TJ
2018-08-12,add,Wesley Woodyard,draftpicks,TJ
2018-08-12,add,Jahleel Addae,draftpicks,MP
