Week,Team,Position,PID,Player
11,MM,QB,24788,Cam Newton
11,MM,WR,24851,Randall Cobb
11,MM,WR,25937,Rishard Matthews
11,MM,RB,24815,Mark Ingram
11,MM,RB,29383,Paul Perkins
11,MM,TE,26658,Zach Ertz
11,MM,W/R/T,26804,Latavius Murray
11,MM,BN,25876,Marvin Jones Jr.
11,MM,BN,24793,Julio Jones
11,MM,BN,24057,Emmanuel Sanders
11,MM,BN,29236,Carson Wentz
11,MM,BN,24916,Julius Thomas
11,MM,K,28227,Cairo Santos
11,MM,DB,24219,Kurt Coleman
11,MM,DB,25775,Trumaine Johnson
11,MM,DB,8422,Corey Graham
11,MM,DL,24075,Everson Griffen
11,MM,DL,25782,Olivier Vernon
11,MM,LB,27679,Avery Williamson
11,MM,LB,25757,Bobby Wagner
11,MM,LB,28512,Kwon Alexander
11,MM,BN,27630,Bashaud Breeland
11,MM,BN,28394,Leonard Williams
11,MM,BN,27599,Christian Kirksey
11,DB,QB,27564,Derek Carr
11,DB,WR,27570,Jordan Matthews
11,DB,WR,28026,Willie Snead
11,DB,RB,25807,Lamar Miller
11,DB,RB,24169,James Starks
11,DB,TE,8285,Greg Olsen
11,DB,W/R/T,27581,Davante Adams
11,DB,BN,26650,DeAndre Hopkins
11,DB,BN,28403,Melvin Gordon
11,DB,BN,7868,Brandon Marshall
11,DB,BN,6763,Philip Rivers
11,DB,K,7520,Robbie Gould
11,DB,BN,6243,Matt Bryant
11,DB,DB,25994,Deshawn Shead
11,DB,DB,26638,Kenny Vaccaro
11,DB,DB,25853,Josh Norman
11,DB,DL,24029,Carlos Dunlap
11,DB,DL,28451,Frank Clark
11,DB,LB,27545,C.J. Mosley
11,DB,LB,6792,Karlos Dansby
11,DB,LB,25898,Danny Trevathan
11,DB,BN,23978,Gerald McCoy
11,DB,BN,25772,Casey Hayward
11,DB,BN,27601,Preston Brown
11,DB,IR,26878,C.J. Anderson
11,MP,QB,5228,Tom Brady
11,MP,WR,27548,Brandin Cooks
11,MP,WR,27535,Mike Evans
11,MP,RB,28474,David Johnson
11,MP,RB,26817,Spencer Ware
11,MP,TE,26644,Tyler Eifert
11,MP,W/R/T,23999,Dez Bryant
11,MP,BN,7200,Aaron Rodgers
11,MP,BN,27583,Jeremy Hill
11,MP,BN,24936,Dion Lewis
11,MP,BN,28697,Cameron Meredith
11,MP,BN,29279,Derrick Henry
11,MP,K,8447,Mason Crosby
11,MP,DB,24046,Morgan Burnett
11,MP,DB,27081,Tony Jefferson
11,MP,DB,25717,Mark Barron
11,MP,DL,27541,Aaron Donald
11,MP,DL,9691,Cameron Wake
11,MP,LB,27543,Ryan Shazier
11,MP,LB,26675,Jamie Collins Sr.
11,MP,LB,25762,Zach Brown
11,MP,BN,24817,Muhammad Wilkerson
11,MP,BN,26656,Johnathan Cyprien
11,MP,BN,28489,Trey Flowers
11,TP,QB,6770,Ben Roethlisberger
11,TP,WR,9348,Mike Wallace
11,TP,WR,25802,T.Y. Hilton
11,TP,RB,29238,Ezekiel Elliott
11,TP,RB,27585,Carlos Hyde
11,TP,TE,26686,Travis Kelce
11,TP,W/R/T,6762,Larry Fitzgerald
11,TP,BN,27631,Devonta Freeman
11,TP,BN,25755,Alshon Jeffery
11,TP,BN,28390,Marcus Mariota
11,TP,BN,9294,Kenny Britt
11,TP,K,29754,Wil Lutz
11,TP,DB,24109,Kam Chancellor
11,TP,DB,26707,Shawn Williams
11,TP,DB,29248,Karl Joseph
11,TP,DL,24811,Cameron Jordan
11,TP,DL,29241,DeForest Buckner
11,TP,LB,7190,Thomas Davis
11,TP,LB,26669,Kiko Alonso
11,TP,LB,28431,Benardrick McKinney
11,TP,BN,27576,Timmy Jernigan
11,TP,BN,28036,Daniel Sorensen
11,TP,BN,7783,D'Qwell Jackson
11,TP,BN,26674,David Amerson
11,TP,IR,28442,Ameer Abdullah
11,SC,QB,6337,Carson Palmer
11,SC,WR,28534,Stefon Diggs
11,SC,WR,9274,Michael Crabtree
11,SC,RB,24318,LeGarrette Blount
11,SC,RB,9317,LeSean McCoy
11,SC,TE,6405,Jason Witten
11,SC,W/R/T,26660,Giovani Bernard
11,SC,BN,23987,Ryan Mathews
11,SC,BN,28402,DeVante Parker
11,SC,BN,8826,DeSean Jackson
11,SC,BN,28494,Jeremy Langford
11,SC,K,25427,Dan Bailey
11,SC,DB,27180,Bradley McDougald
11,SC,DB,8291,Eric Weddle
11,SC,DB,7182,Adam Jones
11,SC,DL,23990,Jason Pierre-Paul
11,SC,DL,25722,Fletcher Cox
11,SC,LB,25768,Lavonte David
11,SC,LB,24030,Sean Lee
11,SC,LB,25848,Tahir Whitehead
11,SC,BN,26636,Sheldon Richardson
11,SC,BN,25731,Chandler Jones
11,SC,BN,8275,Reggie Nelson
11,SC,BN,28436,Denzel Perryman
11,SC,IR,24062,Eric Decker
11,TJ,QB,9265,Matthew Stafford
11,TJ,WR,28392,Amari Cooper
11,TJ,WR,25681,Terrelle Pryor Sr.
11,TJ,RB,24858,DeMarco Murray
11,TJ,RB,8790,Jonathan Stewart
11,TJ,TE,27593,C.J. Fiedorowicz
11,TJ,W/R/T,28493,Jamison Crowder
11,TJ,BN,27591,Jarvis Landry
11,TJ,BN,23997,Demaryius Thomas
11,TJ,BN,25741,Doug Martin
11,TJ,BN,28389,Jameis Winston
11,TJ,BN,29694,Rob Kelley
11,TJ,BN,5521,Steve Smith Sr.
11,TJ,K,3727,Adam Vinatieri
11,TJ,DB,9278,Malcolm Jenkins
11,TJ,DB,28421,Landon Collins
11,TJ,DB,28438,Ronald Darby
11,TJ,DL,28476,Danielle Hunter
11,TJ,DL,8827,Calais Campbell
11,TJ,LB,28472,Jordan Hicks
11,TJ,LB,8288,Paul Posluszny
11,TJ,LB,26238,Vontaze Burfict
11,TJ,BN,7956,Antoine Bethea
11,TJ,BN,25787,Demario Davis
11,TJ,IR,8261,Adrian Peterson
11,MW,QB,25711,Andrew Luck
11,MW,WR,8813,Jordy Nelson
11,MW,WR,27556,Kelvin Benjamin
11,MW,RB,28398,Todd Gurley
11,MW,RB,29324,C.J. Prosise
11,MW,TE,7924,Delanie Walker
11,MW,W/R/T,27618,Donte Moncrief
11,MW,BN,29384,Jordan Howard
11,MW,BN,29369,Dak Prescott
11,MW,BN,7306,Darren Sproles
11,MW,BN,28691,Tyrell Williams
11,MW,BN,8838,Martellus Bennett
11,MW,K,7867,Stephen Gostkowski
11,MW,DB,28497,Clayton Geathers
